County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Early,7320.0,9.0,17.0,7.0,0.0,33.0,9.0,11.0,2.0,0.0,22.0,362.0,737.0,214.0,1.0,1314.0,10.0,6.0,3.0,0.0,19.0,22.0,22.0,6.0,0.0,50.0,12.0,22.0,3.0,0.0,37.0,19.0,30.0,2.0,0.0,51.0,189.0,284.0,130.0,0.0,603.0,32.0,64.0,30.0,0.0,126.0,21.0,21.0,4.0,0.0,46.0,35.0,68.0,32.0,0.0,135.0,36.0,67.0,52.0,0.0,155.0,324.0,637.0,171.0,1.0,1133.0,30.0,44.0,9.0,0.0,83.0,9.0,11.0,3.0,0.0,23.0,13.0,5.0,4.0,0.0,22.0,3.0,10.0,6.0,0.0,19.0,18.0,28.0,8.0,1.0,55.0,228.0,417.0,360.0,0.0,1005.0,9.0,21.0,8.0,0.0,38.0,4969.0
Echols,2156.0,1.0,6.0,6.0,0.0,13.0,3.0,8.0,0.0,0.0,11.0,87.0,371.0,50.0,0.0,508.0,1.0,3.0,0.0,0.0,4.0,10.0,31.0,8.0,0.0,49.0,0.0,2.0,0.0,0.0,2.0,3.0,13.0,2.0,0.0,18.0,7.0,26.0,10.0,0.0,43.0,6.0,4.0,0.0,0.0,10.0,3.0,27.0,3.0,0.0,33.0,8.0,11.0,2.0,0.0,21.0,3.0,18.0,4.0,0.0,25.0,94.0,412.0,52.0,0.0,558.0,3.0,5.0,1.0,0.0,9.0,1.0,3.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,6.0,5.0,19.0,0.0,0.0,24.0,3.0,27.0,6.0,0.0,36.0,1.0,0.0,1.0,0.0,2.0,1381.0
Effingham,44273.0,50.0,46.0,27.0,0.0,123.0,66.0,46.0,32.0,0.0,144.0,2267.0,4872.0,875.0,5.0,8019.0,30.0,24.0,17.0,0.0,71.0,241.0,335.0,55.0,3.0,634.0,38.0,28.0,11.0,1.0,78.0,173.0,207.0,49.0,0.0,429.0,250.0,501.0,277.0,3.0,1031.0,77.0,128.0,57.0,0.0,262.0,161.0,241.0,34.0,1.0,437.0,101.0,183.0,91.0,1.0,376.0,157.0,264.0,144.0,1.0,566.0,4010.0,7235.0,1492.0,5.0,12742.0,41.0,82.0,34.0,1.0,158.0,156.0,125.0,43.0,0.0,324.0,31.0,28.0,13.0,0.0,72.0,10.0,22.0,20.0,0.0,52.0,165.0,245.0,28.0,1.0,439.0,1093.0,2311.0,1534.0,5.0,4943.0,18.0,40.0,16.0,0.0,74.0,30974.0
Elbert,12305.0,6.0,8.0,8.0,0.0,22.0,7.0,8.0,11.0,0.0,26.0,1169.0,2311.0,743.0,0.0,4223.0,5.0,5.0,9.0,0.0,19.0,50.0,72.0,14.0,0.0,136.0,13.0,9.0,0.0,0.0,22.0,35.0,41.0,17.0,0.0,93.0,121.0,252.0,212.0,0.0,585.0,54.0,96.0,73.0,0.0,223.0,42.0,66.0,10.0,0.0,118.0,45.0,93.0,44.0,0.0,182.0,54.0,125.0,100.0,0.0,279.0,471.0,831.0,224.0,0.0,1526.0,14.0,48.0,16.0,0.0,78.0,17.0,15.0,1.0,0.0,33.0,3.0,11.0,4.0,0.0,18.0,4.0,7.0,19.0,0.0,30.0,23.0,47.0,4.0,0.0,74.0,189.0,559.0,489.0,0.0,1237.0,10.0,23.0,24.0,0.0,57.0,8981.0
Emanuel,13715.0,10.0,8.0,2.0,0.0,20.0,31.0,30.0,10.0,0.0,71.0,1063.0,1327.0,386.0,0.0,2776.0,4.0,7.0,2.0,0.0,13.0,68.0,85.0,18.0,0.0,171.0,4.0,7.0,1.0,0.0,12.0,34.0,48.0,9.0,1.0,92.0,173.0,218.0,112.0,0.0,503.0,48.0,53.0,42.0,0.0,143.0,53.0,42.0,1.0,0.0,96.0,44.0,55.0,18.0,0.0,117.0,49.0,67.0,32.0,0.0,148.0,1152.0,1441.0,468.0,0.0,3061.0,20.0,21.0,6.0,0.0,47.0,12.0,12.0,3.0,0.0,27.0,7.0,3.0,0.0,1.0,11.0,16.0,18.0,36.0,0.0,70.0,41.0,44.0,3.0,0.0,88.0,462.0,743.0,487.0,0.0,1692.0,9.0,15.0,9.0,0.0,33.0,9191.0
Evans,6135.0,0.0,8.0,1.0,0.0,9.0,5.0,16.0,0.0,0.0,21.0,167.0,746.0,186.0,0.0,1099.0,1.0,6.0,3.0,0.0,10.0,14.0,44.0,12.0,0.0,70.0,4.0,5.0,1.0,0.0,10.0,18.0,29.0,5.0,0.0,52.0,41.0,113.0,30.0,0.0,184.0,12.0,28.0,17.0,0.0,57.0,15.0,34.0,4.0,0.0,53.0,12.0,38.0,7.0,0.0,57.0,15.0,48.0,14.0,0.0,77.0,223.0,993.0,287.0,0.0,1503.0,20.0,16.0,5.0,0.0,41.0,4.0,8.0,4.0,0.0,16.0,2.0,3.0,0.0,0.0,5.0,3.0,9.0,7.0,0.0,19.0,16.0,32.0,3.0,0.0,51.0,121.0,439.0,231.0,0.0,791.0,4.0,16.0,2.0,0.0,22.0,4147.0
Fannin,20399.0,8.0,10.0,9.0,0.0,27.0,16.0,16.0,17.0,0.0,49.0,2530.0,3563.0,1436.0,13.0,7542.0,10.0,8.0,7.0,1.0,26.0,83.0,85.0,22.0,0.0,190.0,16.0,10.0,6.0,0.0,32.0,52.0,46.0,11.0,0.0,109.0,51.0,110.0,102.0,0.0,263.0,6.0,16.0,10.0,0.0,32.0,56.0,58.0,7.0,1.0,122.0,12.0,24.0,15.0,0.0,51.0,42.0,106.0,122.0,0.0,270.0,1280.0,1831.0,759.0,7.0,3877.0,11.0,18.0,13.0,0.0,42.0,21.0,29.0,16.0,0.0,66.0,10.0,7.0,6.0,0.0,23.0,2.0,11.0,10.0,0.0,23.0,43.0,35.0,16.0,0.0,94.0,248.0,693.0,753.0,0.0,1694.0,5.0,23.0,11.0,0.0,39.0,14571.0
Fayette,92307.0,56.0,111.0,52.0,2.0,221.0,43.0,110.0,66.0,3.0,222.0,2040.0,8496.0,2849.0,21.0,13406.0,62.0,80.0,79.0,3.0,224.0,99.0,323.0,143.0,3.0,568.0,34.0,75.0,32.0,1.0,142.0,156.0,316.0,117.0,0.0,589.0,454.0,2000.0,1015.0,12.0,3481.0,165.0,568.0,211.0,6.0,950.0,89.0,229.0,60.0,1.0,379.0,162.0,590.0,246.0,2.0,1000.0,295.0,1097.0,475.0,3.0,1870.0,3665.0,12832.0,4349.0,26.0,20872.0,119.0,363.0,70.0,2.0,554.0,160.0,290.0,92.0,1.0,543.0,33.0,109.0,48.0,1.0,191.0,22.0,89.0,84.0,0.0,195.0,94.0,238.0,69.0,0.0,401.0,2073.0,11805.0,8215.0,33.0,22126.0,49.0,162.0,99.0,0.0,310.0,68244.0
Floyd,60650.0,47.0,46.0,26.0,0.0,119.0,47.0,51.0,45.0,0.0,143.0,2814.0,5438.0,1895.0,51.0,10198.0,45.0,41.0,41.0,0.0,127.0,158.0,235.0,75.0,5.0,473.0,54.0,53.0,18.0,0.0,125.0,164.0,249.0,44.0,0.0,457.0,309.0,570.0,313.0,2.0,1194.0,93.0,165.0,100.0,1.0,359.0,132.0,174.0,34.0,0.0,340.0,128.0,211.0,93.0,2.0,434.0,232.0,425.0,205.0,2.0,864.0,4040.0,7920.0,2337.0,106.0,14403.0,48.0,96.0,27.0,1.0,172.0,130.0,141.0,46.0,0.0,317.0,24.0,38.0,20.0,0.0,82.0,20.0,24.0,19.0,0.0,63.0,165.0,271.0,37.0,0.0,473.0,1388.0,3128.0,2881.0,23.0,7420.0,34.0,53.0,42.0,0.0,129.0,37892.0
Forsyth,163984.0,71.0,188.0,101.0,0.0,360.0,92.0,270.0,143.0,0.0,505.0,3507.0,25054.0,6496.0,10.0,35067.0,87.0,240.0,161.0,2.0,490.0,324.0,1107.0,269.0,0.0,1700.0,90.0,243.0,93.0,1.0,427.0,263.0,984.0,286.0,3.0,1536.0,616.0,3744.0,1889.0,7.0,6256.0,143.0,640.0,322.0,1.0,1106.0,203.0,718.0,143.0,0.0,1064.0,218.0,972.0,421.0,0.0,1611.0,421.0,2706.0,1206.0,2.0,4335.0,4840.0,31749.0,7777.0,17.0,44383.0,108.0,536.0,118.0,0.0,762.0,303.0,794.0,216.0,2.0,1315.0,56.0,168.0,78.0,1.0,303.0,23.0,176.0,172.0,0.0,371.0,195.0,654.0,129.0,0.0,978.0,1545.0,12604.0,9739.0,7.0,23895.0,52.0,254.0,230.0,0.0,536.0,127000.0
Franklin,15146.0,8.0,11.0,11.0,0.0,30.0,11.0,14.0,7.0,0.0,32.0,1434.0,3688.0,1036.0,0.0,6158.0,3.0,11.0,7.0,0.0,21.0,65.0,97.0,26.0,0.0,188.0,9.0,17.0,7.0,0.0,33.0,34.0,79.0,9.0,0.0,122.0,67.0,112.0,124.0,0.0,303.0,31.0,34.0,28.0,0.0,93.0,51.0,84.0,11.0,0.0,146.0,21.0,42.0,26.0,0.0,89.0,49.0,90.0,80.0,1.0,220.0,612.0,1313.0,332.0,1.0,2258.0,17.0,16.0,9.0,0.0,42.0,28.0,31.0,4.0,0.0,63.0,7.0,5.0,5.0,0.0,17.0,9.0,12.0,10.0,0.0,31.0,41.0,54.0,5.0,0.0,100.0,111.0,261.0,241.0,0.0,613.0,7.0,13.0,7.0,0.0,27.0,10586.0
Fulton,806451.0,292.0,687.0,490.0,15.0,1484.0,352.0,906.0,638.0,20.0,1916.0,5869.0,30463.0,11782.0,309.0,48423.0,346.0,931.0,629.0,39.0,1945.0,519.0,1471.0,552.0,46.0,2588.0,304.0,716.0,253.0,19.0,1292.0,671.0,1968.0,628.0,55.0,3322.0,6358.0,25677.0,8624.0,528.0,41187.0,2235.0,8117.0,2501.0,181.0,13034.0,402.0,1129.0,292.0,32.0,1855.0,2172.0,8854.0,2662.0,178.0,13866.0,2373.0,13069.0,4559.0,102.0,20103.0,10958.0,53286.0,18920.0,351.0,83515.0,1197.0,4771.0,728.0,46.0,6742.0,738.0,1863.0,787.0,35.0,3423.0,350.0,973.0,393.0,27.0,1743.0,256.0,1204.0,907.0,23.0,2390.0,417.0,1133.0,328.0,27.0,1905.0,21966.0,152976.0,87088.0,1293.0,263323.0,537.0,1949.0,897.0,43.0,3426.0,517482.0
Gilmer,22264.0,11.0,10.0,14.0,0.0,35.0,17.0,14.0,16.0,0.0,47.0,2368.0,4118.0,1220.0,5.0,7711.0,12.0,11.0,19.0,1.0,43.0,76.0,98.0,17.0,1.0,192.0,8.0,8.0,8.0,0.0,24.0,42.0,62.0,22.0,0.0,126.0,63.0,138.0,118.0,0.0,319.0,12.0,16.0,21.0,0.0,49.0,69.0,77.0,18.0,1.0,165.0,23.0,37.0,24.0,0.0,84.0,51.0,115.0,106.0,0.0,272.0,1644.0,2384.0,877.0,3.0,4908.0,9.0,32.0,12.0,0.0,53.0,47.0,40.0,18.0,0.0,105.0,9.0,6.0,6.0,0.0,21.0,5.0,3.0,13.0,0.0,21.0,40.0,45.0,8.0,0.0,93.0,256.0,788.0,852.0,1.0,1897.0,7.0,16.0,13.0,0.0,36.0,16201.0
Glascock,2039.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,123.0,264.0,49.0,0.0,436.0,2.0,0.0,0.0,0.0,2.0,10.0,11.0,1.0,0.0,22.0,0.0,2.0,0.0,0.0,2.0,6.0,11.0,3.0,0.0,20.0,5.0,12.0,8.0,0.0,25.0,3.0,7.0,0.0,0.0,10.0,10.0,10.0,2.0,0.0,22.0,3.0,0.0,2.0,0.0,5.0,6.0,3.0,8.0,0.0,17.0,230.0,453.0,136.0,0.0,819.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,6.0,0.0,13.0,4.0,5.0,1.0,0.0,10.0,19.0,36.0,29.0,0.0,84.0,1.0,0.0,0.0,0.0,1.0,1500.0
Glynn,61952.0,51.0,82.0,62.0,0.0,195.0,54.0,112.0,96.0,1.0,263.0,1677.0,6792.0,1815.0,9.0,10293.0,36.0,60.0,45.0,0.0,141.0,177.0,435.0,126.0,2.0,740.0,53.0,80.0,23.0,0.0,156.0,161.0,364.0,108.0,1.0,634.0,518.0,1740.0,905.0,8.0,3171.0,151.0,399.0,191.0,2.0,743.0,242.0,619.0,120.0,1.0,982.0,168.0,525.0,252.0,4.0,949.0,184.0,824.0,422.0,0.0,1430.0,2092.0,7556.0,2150.0,12.0,11810.0,121.0,298.0,105.0,0.0,524.0,86.0,156.0,43.0,0.0,285.0,33.0,62.0,35.0,0.0,130.0,25.0,79.0,103.0,0.0,207.0,145.0,411.0,76.0,3.0,635.0,779.0,3431.0,3054.0,8.0,7272.0,30.0,92.0,84.0,1.0,207.0,40767.0
Gordon,36429.0,24.0,39.0,13.0,0.0,76.0,37.0,46.0,26.0,0.0,109.0,2576.0,3995.0,1012.0,3.0,7586.0,19.0,32.0,18.0,0.0,69.0,223.0,250.0,40.0,2.0,515.0,43.0,45.0,13.0,0.0,101.0,150.0,167.0,43.0,1.0,361.0,171.0,313.0,162.0,0.0,646.0,42.0,57.0,41.0,0.0,140.0,152.0,144.0,22.0,0.0,318.0,72.0,81.0,43.0,1.0,197.0,125.0,219.0,103.0,0.0,447.0,3371.0,4784.0,1380.0,4.0,9539.0,34.0,52.0,7.0,0.0,93.0,81.0,68.0,18.0,0.0,167.0,8.0,14.0,11.0,0.0,33.0,15.0,15.0,16.0,0.0,46.0,137.0,174.0,28.0,1.0,340.0,585.0,1106.0,928.0,0.0,2619.0,17.0,27.0,23.0,1.0,68.0,23470.0
Grady,15442.0,11.0,22.0,14.0,0.0,47.0,14.0,20.0,7.0,1.0,42.0,951.0,1964.0,558.0,2.0,3475.0,4.0,12.0,6.0,0.0,22.0,70.0,120.0,35.0,2.0,227.0,9.0,19.0,7.0,0.0,35.0,46.0,76.0,23.0,0.0,145.0,162.0,516.0,210.0,2.0,890.0,38.0,144.0,59.0,0.0,241.0,32.0,81.0,16.0,1.0,130.0,76.0,173.0,67.0,0.0,316.0,66.0,149.0,79.0,0.0,294.0,795.0,1476.0,446.0,2.0,2719.0,26.0,56.0,21.0,0.0,103.0,23.0,17.0,4.0,0.0,44.0,5.0,6.0,5.0,0.0,16.0,3.0,25.0,11.0,0.0,39.0,39.0,94.0,12.0,0.0,145.0,214.0,670.0,515.0,7.0,1406.0,14.0,31.0,25.0,0.0,70.0,10406.0
Greene,14171.0,3.0,4.0,5.0,0.0,12.0,3.0,7.0,8.0,0.0,18.0,366.0,2634.0,607.0,1.0,3608.0,5.0,4.0,6.0,0.0,15.0,17.0,41.0,16.0,0.0,74.0,3.0,8.0,5.0,0.0,16.0,7.0,35.0,7.0,0.0,49.0,210.0,460.0,199.0,3.0,872.0,11.0,34.0,22.0,0.0,67.0,12.0,18.0,6.0,0.0,36.0,12.0,36.0,32.0,0.0,80.0,28.0,77.0,68.0,0.0,173.0,410.0,2254.0,683.0,2.0,3349.0,3.0,23.0,8.0,0.0,34.0,13.0,20.0,7.0,0.0,40.0,8.0,7.0,1.0,0.0,16.0,2.0,7.0,5.0,0.0,14.0,10.0,22.0,8.0,0.0,40.0,305.0,1221.0,1043.0,3.0,2572.0,5.0,22.0,11.0,0.0,38.0,11123.0
Gwinnett,581467.0,444.0,642.0,324.0,3.0,1413.0,485.0,632.0,435.0,11.0,1563.0,11037.0,32296.0,14473.0,80.0,57886.0,431.0,622.0,480.0,4.0,1537.0,1419.0,2711.0,828.0,20.0,4978.0,393.0,538.0,303.0,8.0,1242.0,1250.0,2225.0,888.0,10.0,4373.0,6821.0,19045.0,9940.0,102.0,35908.0,2088.0,5277.0,2474.0,25.0,9864.0,1091.0,1904.0,644.0,16.0,3655.0,3383.0,9166.0,3504.0,45.0,16098.0,3173.0,9144.0,3703.0,17.0,16037.0,17944.0,48733.0,21889.0,47.0,88613.0,1254.0,2980.0,522.0,2.0,4758.0,1115.0,1439.0,638.0,5.0,3197.0,348.0,533.0,308.0,2.0,1191.0,302.0,778.0,661.0,2.0,1743.0,786.0,1318.0,381.0,2.0,2487.0,17435.0,73490.0,51923.0,120.0,142968.0,714.0,1661.0,822.0,7.0,3204.0,402715.0
Habersham,28264.0,10.0,20.0,8.0,0.0,38.0,11.0,36.0,14.0,1.0,62.0,1433.0,7029.0,1846.0,11.0,10319.0,11.0,15.0,13.0,0.0,39.0,65.0,134.0,37.0,1.0,237.0,16.0,26.0,6.0,1.0,49.0,53.0,108.0,22.0,2.0,185.0,90.0,216.0,135.0,2.0,443.0,31.0,59.0,30.0,0.0,120.0,36.0,91.0,21.0,1.0,149.0,34.0,86.0,27.0,0.0,147.0,51.0,166.0,109.0,0.0,326.0,903.0,3503.0,964.0,1.0,5371.0,12.0,43.0,12.0,0.0,67.0,53.0,91.0,26.0,1.0,171.0,8.0,16.0,8.0,0.0,32.0,9.0,11.0,11.0,0.0,31.0,38.0,84.0,19.0,1.0,142.0,247.0,1034.0,852.0,0.0,2133.0,22.0,19.0,20.0,0.0,61.0,20122.0
Hall,0.0,77.0,101.0,65.0,0.0,243.0,85.0,123.0,80.0,0.0,288.0,6111.0,25551.0,7778.0,0.0,39440.0,65.0,115.0,62.0,0.0,242.0,226.0,473.0,141.0,0.0,840.0,65.0,109.0,36.0,0.0,210.0,192.0,461.0,128.0,0.0,781.0,820.0,1917.0,932.0,0.0,3669.0,186.0,434.0,198.0,0.0,818.0,169.0,336.0,48.0,0.0,553.0,246.0,611.0,209.0,0.0,1066.0,376.0,999.0,451.0,0.0,1826.0,3967.0,13807.0,4183.0,0.0,21957.0,146.0,342.0,64.0,0.0,552.0,250.0,396.0,123.0,0.0,769.0,59.0,107.0,45.0,0.0,211.0,40.0,75.0,80.0,0.0,195.0,148.0,359.0,60.0,0.0,567.0,1790.0,6664.0,6425.0,0.0,14879.0,78.0,134.0,95.0,0.0,307.0,89413.0
Hancock,5827.0,5.0,4.0,7.0,0.0,16.0,4.0,4.0,4.0,0.0,12.0,100.0,284.0,92.0,0.0,476.0,3.0,3.0,2.0,0.0,8.0,7.0,8.0,3.0,0.0,18.0,4.0,2.0,2.0,0.0,8.0,9.0,10.0,4.0,0.0,23.0,97.0,135.0,98.0,0.0,330.0,21.0,37.0,45.0,0.0,103.0,9.0,6.0,0.0,0.0,15.0,36.0,39.0,42.0,0.0,117.0,25.0,33.0,31.0,0.0,89.0,138.0,326.0,144.0,0.0,608.0,10.0,22.0,12.0,0.0,44.0,4.0,1.0,2.0,0.0,7.0,1.0,2.0,1.0,0.0,4.0,3.0,11.0,16.0,0.0,30.0,7.0,6.0,1.0,0.0,14.0,400.0,816.0,910.0,3.0,2129.0,13.0,10.0,15.0,0.0,38.0,4089.0
Haralson,20667.0,24.0,11.0,7.0,0.0,42.0,23.0,14.0,6.0,0.0,43.0,1497.0,2341.0,649.0,1.0,4488.0,18.0,10.0,10.0,0.0,38.0,89.0,101.0,28.0,0.0,218.0,26.0,18.0,6.0,0.0,50.0,65.0,70.0,20.0,0.0,155.0,45.0,82.0,74.0,0.0,201.0,13.0,26.0,12.0,0.0,51.0,112.0,164.0,23.0,0.0,299.0,20.0,35.0,30.0,0.0,85.0,46.0,68.0,53.0,0.0,167.0,2235.0,3252.0,1044.0,2.0,6533.0,14.0,7.0,13.0,0.0,34.0,40.0,45.0,14.0,0.0,99.0,7.0,4.0,3.0,0.0,14.0,0.0,6.0,6.0,0.0,12.0,96.0,106.0,9.0,0.0,211.0,266.0,514.0,419.0,1.0,1200.0,10.0,7.0,12.0,0.0,29.0,13969.0
Harris,25626.0,15.0,17.0,10.0,0.0,42.0,19.0,19.0,11.0,0.0,49.0,2354.0,3104.0,971.0,9.0,6438.0,9.0,11.0,16.0,0.0,36.0,100.0,103.0,29.0,0.0,232.0,18.0,6.0,5.0,0.0,29.0,73.0,82.0,23.0,1.0,179.0,176.0,246.0,178.0,1.0,601.0,31.0,59.0,50.0,1.0,141.0,59.0,65.0,17.0,0.0,141.0,52.0,78.0,66.0,0.0,196.0,78.0,113.0,100.0,0.0,291.0,2822.0,3164.0,1102.0,2.0,7090.0,20.0,25.0,15.0,1.0,61.0,65.0,37.0,27.0,0.0,129.0,11.0,11.0,14.0,0.0,36.0,5.0,12.0,31.0,0.0,48.0,69.0,60.0,27.0,0.0,156.0,880.0,1460.0,1434.0,2.0,3776.0,20.0,25.0,22.0,0.0,67.0,19738.0
Hart,16929.0,11.0,11.0,9.0,0.0,31.0,17.0,10.0,19.0,0.0,46.0,1496.0,4074.0,1095.0,0.0,6665.0,10.0,16.0,8.0,0.0,34.0,50.0,114.0,21.0,0.0,185.0,8.0,13.0,5.0,0.0,26.0,48.0,82.0,23.0,1.0,154.0,130.0,274.0,194.0,0.0,598.0,39.0,104.0,56.0,0.0,199.0,53.0,99.0,11.0,0.0,163.0,45.0,93.0,35.0,1.0,174.0,54.0,153.0,133.0,0.0,340.0,584.0,1191.0,304.0,1.0,2080.0,27.0,47.0,14.0,1.0,89.0,24.0,32.0,5.0,0.0,61.0,8.0,10.0,2.0,0.0,20.0,6.0,20.0,17.0,0.0,43.0,31.0,69.0,7.0,0.0,107.0,211.0,627.0,464.0,0.0,1302.0,8.0,10.0,19.0,0.0,37.0,12354.0
Heard,7762.0,7.0,8.0,0.0,0.0,15.0,8.0,3.0,3.0,0.0,14.0,486.0,804.0,225.0,0.0,1515.0,2.0,3.0,3.0,0.0,8.0,31.0,45.0,9.0,1.0,86.0,7.0,4.0,3.0,0.0,14.0,16.0,28.0,7.0,0.0,51.0,28.0,36.0,29.0,1.0,94.0,4.0,8.0,2.0,0.0,14.0,34.0,35.0,6.0,0.0,75.0,7.0,7.0,12.0,0.0,26.0,14.0,25.0,15.0,0.0,54.0,942.0,1190.0,410.0,0.0,2542.0,6.0,9.0,2.0,0.0,17.0,13.0,19.0,1.0,0.0,33.0,6.0,1.0,3.0,0.0,10.0,2.0,3.0,3.0,0.0,8.0,31.0,23.0,6.0,0.0,60.0,140.0,250.0,202.0,0.0,592.0,7.0,7.0,5.0,0.0,19.0,5247.0
Henry,171905.0,85.0,137.0,85.0,0.0,307.0,90.0,172.0,110.0,1.0,373.0,2419.0,11540.0,2868.0,9.0,16836.0,65.0,127.0,100.0,0.0,292.0,251.0,582.0,152.0,1.0,986.0,77.0,160.0,50.0,1.0,288.0,187.0,514.0,113.0,1.0,815.0,1724.0,6634.0,2195.0,18.0,10571.0,537.0,1921.0,826.0,6.0,3290.0,171.0,396.0,69.0,1.0,637.0,529.0,1996.0,759.0,7.0,3291.0,488.0,1959.0,615.0,1.0,3063.0,4390.0,17614.0,4811.0,9.0,26824.0,299.0,998.0,165.0,0.0,1462.0,197.0,382.0,108.0,0.0,687.0,98.0,243.0,98.0,1.0,440.0,59.0,167.0,188.0,2.0,416.0,193.0,408.0,84.0,0.0,685.0,4487.0,29707.0,15177.0,36.0,49407.0,135.0,501.0,161.0,3.0,800.0,121470.0
