County,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_TOTAL VOTES,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_TOTAL VOTES,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_TOTAL VOTES,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_TOTAL VOTES,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_TOTAL VOTES,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_TOTAL VOTES,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_TOTAL VOTES,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_TOTAL VOTES,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_TOTAL VOTES,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_TOTAL VOTES,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_TOTAL VOTES,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_TOTAL VOTES,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_TOTAL VOTES,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_TOTAL VOTES,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_TOTAL VOTES,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_TOTAL VOTES,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_TOTAL VOTES,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_TOTAL VOTES,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_TOTAL VOTES,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_TOTAL VOTES,Total,
Macon,4,3,7,0,14,4,3,7,0,14,139,61,610,0,810,3,1,2,0,6,6,3,25,0,34,1,0,3,0,4,14,1,11,0,26,134,70,192,0,396,27,22,46,0,95,7,3,19,0,29,30,16,37,0,83,33,24,61,0,118,159,76,588,0,823,8,3,14,0,25,5,1,6,0,12,3,1,1,0,5,5,6,9,0,20,6,2,13,0,21,428,507,1052,0,1987,14,3,14,0,31,4553,
Madison,16,13,13,0,42,17,12,11,0,40,1682,910,3163,1,5756,14,11,8,0,33,65,18,83,0,166,16,6,19,0,41,52,16,47,0,115,126,110,195,0,431,30,23,44,0,97,44,17,58,0,119,37,35,41,0,113,63,65,121,0,249,1507,750,2549,2,4808,17,18,24,0,59,44,10,38,0,92,16,8,9,0,33,9,9,8,0,26,37,11,65,0,113,434,841,1008,1,2284,14,20,23,0,57,14674,
Marion,5,4,7,0,16,7,4,4,0,15,310,130,546,0,986,1,1,3,0,5,20,5,21,0,46,3,0,5,0,8,10,6,15,0,31,43,49,103,0,195,9,11,24,0,44,16,4,15,0,35,7,11,23,0,41,18,16,35,0,69,333,154,591,0,1078,7,6,19,0,32,4,6,8,0,18,1,0,5,0,6,3,12,8,0,23,25,2,10,0,37,149,327,373,0,849,3,8,5,0,16,3550,
McDuffie,7,7,9,0,23,9,16,12,0,37,284,326,1650,0,2260,6,7,15,0,28,28,14,74,0,116,9,2,11,0,22,26,8,49,0,83,143,171,355,0,669,38,67,120,0,225,19,2,61,0,82,44,52,99,0,195,45,28,92,0,165,425,545,2533,0,3503,16,11,41,0,68,15,3,36,0,54,3,2,11,0,16,18,119,95,0,232,14,10,58,0,82,280,974,1133,0,2387,8,19,33,0,60,10307,
McIntosh,8,8,8,0,24,12,11,11,0,34,274,248,972,0,1494,4,2,5,0,11,21,12,41,0,74,4,5,9,0,18,19,8,26,1,54,98,114,251,0,463,28,24,57,0,109,18,15,60,0,93,21,27,48,0,96,34,50,85,0,169,426,500,1191,0,2117,18,9,24,0,51,8,4,12,0,24,7,3,6,0,16,2,6,10,0,18,17,11,24,0,52,213,552,780,0,1545,8,16,8,0,32,6494,
Meriwether,13,3,10,0,26,9,16,19,0,44,822,408,1434,0,2664,6,2,4,0,12,56,16,61,0,133,9,5,11,0,25,37,10,45,0,92,187,125,244,0,556,50,42,69,0,161,32,7,51,0,90,78,42,88,0,208,51,29,51,0,131,1149,518,1587,1,3255,18,12,24,0,54,15,4,15,0,34,9,5,5,0,19,6,7,10,0,23,36,9,37,1,83,775,1158,1080,5,3018,25,16,25,0,66,10694,
Miller,4,4,12,0,20,4,6,9,0,19,195,133,553,2,883,1,0,5,0,6,17,4,40,0,61,2,0,5,0,7,16,3,18,0,37,44,42,93,0,179,9,12,19,0,40,12,10,19,0,41,8,16,17,0,41,15,18,31,0,64,240,102,538,1,881,7,0,9,0,16,4,3,5,0,12,1,0,3,0,4,1,7,3,0,11,14,3,20,0,37,69,83,119,0,271,3,5,5,0,13,2643,
Mitchell,7,8,10,0,25,3,8,8,1,20,793,303,1441,1,2538,1,4,9,0,14,42,7,38,0,87,9,4,6,0,19,22,7,22,0,51,144,182,277,0,603,32,42,67,0,141,12,5,31,0,48,39,59,81,0,179,40,47,77,0,164,615,363,1111,1,2090,22,11,21,0,54,9,3,8,0,20,4,0,5,0,9,4,7,5,0,16,22,6,34,0,62,522,1008,1064,4,2598,18,32,22,0,72,8810,
Monroe,7,8,18,0,33,13,12,20,0,45,1076,437,2686,2,4201,10,8,12,0,30,60,12,93,0,165,10,6,16,0,32,36,10,59,0,105,92,93,238,0,423,32,27,88,0,147,38,16,107,0,161,27,21,78,0,126,38,41,148,0,227,1727,599,3747,4,6077,17,7,41,0,65,34,12,48,0,94,5,8,12,0,25,5,8,12,0,25,41,6,67,0,114,492,1070,1633,2,3197,13,12,28,0,53,15345,
Montgomery,6,1,9,0,16,7,2,4,0,13,458,149,659,0,1266,3,3,3,0,9,21,7,32,0,60,4,0,3,0,7,17,4,13,0,34,61,35,81,0,177,13,7,25,0,45,22,1,23,0,46,15,10,19,0,44,14,11,26,0,51,487,178,667,0,1332,6,3,8,0,17,7,0,7,0,14,2,1,0,0,3,0,2,3,0,5,48,6,52,0,106,141,204,237,0,582,3,3,5,0,11,3838,
Morgan,7,3,8,0,18,5,6,19,0,30,724,396,2380,2,3502,6,5,7,0,18,36,5,55,0,96,11,3,8,0,22,26,9,40,0,75,78,75,218,0,371,20,18,41,0,79,33,2,31,0,66,23,27,56,1,107,38,30,98,0,166,1008,530,2821,1,4360,7,7,29,0,43,21,11,25,0,57,5,4,12,0,21,1,6,11,0,18,20,2,56,0,78,302,834,1255,1,2392,11,3,32,0,46,11565,
Murray,26,8,25,0,59,34,11,41,0,86,1337,487,2969,0,4793,16,11,22,0,49,140,37,230,0,407,34,4,38,0,76,86,26,151,0,263,141,128,269,0,538,28,23,56,0,107,98,17,138,0,253,32,29,64,0,125,90,82,182,0,354,1884,752,3664,0,6300,29,7,36,0,72,24,13,75,0,112,11,3,6,0,20,9,21,12,0,42,83,21,153,0,257,137,288,340,0,765,12,22,19,0,53,14731,
Muscogee,61,97,97,0,255,75,127,107,0,309,2500,2819,7205,7,12531,50,95,78,0,223,182,112,300,2,596,63,44,97,1,205,148,82,306,2,538,1262,1813,3472,6,6553,397,535,1056,1,1989,126,54,211,0,391,375,539,1122,4,2040,430,697,1301,0,2428,3101,3489,8699,6,15295,208,153,539,0,900,173,93,219,0,485,61,53,119,0,233,106,273,298,0,677,150,58,212,0,420,3615,12278,16606,18,32517,138,166,325,1,630,79215,
Newton,56,45,35,0,136,82,59,36,0,177,3502,1688,3026,5,8221,52,50,23,0,125,203,71,164,4,442,50,18,34,1,103,182,63,119,0,364,1217,1050,1841,6,4114,402,419,527,0,1348,196,40,108,1,345,428,405,594,1,1428,342,254,479,1,1076,6188,2873,4379,2,13442,188,69,243,1,501,168,56,85,1,310,49,30,53,0,132,37,82,60,0,179,168,32,121,0,321,4089,7775,8568,11,20443,117,87,148,0,352,53559,
Oconee,10,10,20,0,40,20,17,25,0,62,939,1032,4193,1,6165,12,14,40,0,66,49,37,147,0,233,10,9,37,0,56,39,29,133,1,202,83,237,477,0,797,21,36,92,0,149,34,22,103,0,159,34,77,135,0,246,71,163,369,0,603,1551,1711,6651,1,9914,12,13,64,0,89,81,40,137,0,258,10,18,22,0,50,3,37,30,0,70,50,29,95,0,174,435,2115,2896,2,5448,8,53,67,0,128,24909,
Oglethorpe,7,1,8,0,16,4,14,9,0,27,367,362,1447,0,2176,5,3,8,0,16,29,12,68,0,109,5,6,9,0,20,23,13,39,0,75,54,83,142,0,279,20,19,22,0,61,20,9,39,0,68,22,29,43,0,94,23,31,77,1,132,540,539,1821,1,2901,3,6,22,0,31,15,15,44,0,74,3,8,9,0,20,2,12,6,0,20,29,10,64,0,103,289,620,810,1,1720,5,8,15,0,28,7970,
Paulding,51,64,106,0,221,75,81,148,0,304,2926,3407,12088,0,18421,61,83,108,0,252,322,190,701,0,1213,63,53,131,0,247,259,126,633,0,1018,681,1145,2398,0,4224,230,374,731,0,1335,214,62,484,0,760,249,370,801,0,1420,333,453,958,0,1744,5225,5560,19788,0,30573,149,88,366,0,603,241,126,391,0,758,50,57,97,0,204,25,77,79,0,181,236,91,603,0,930,2061,7404,9639,0,19104,54,112,209,0,375,83887,
Peach,12,7,18,0,37,8,10,20,1,39,291,373,1958,7,2629,6,5,12,0,23,26,10,95,0,131,7,4,12,1,24,18,10,58,0,86,147,161,470,1,779,42,66,135,0,243,19,5,53,0,77,38,58,148,0,244,39,44,152,0,235,523,419,2415,1,3358,17,5,65,0,87,18,10,49,1,78,8,3,13,0,24,5,23,30,0,58,17,5,60,1,83,502,1275,2252,3,4032,20,14,51,0,85,12352,
Pickens,24,4,6,0,34,17,13,9,0,39,2816,947,3417,5,7185,20,8,12,0,40,103,17,100,0,220,16,7,23,0,46,75,13,59,0,147,68,67,84,0,219,11,16,21,0,48,69,7,61,0,137,22,15,33,0,70,57,54,79,0,190,2655,830,2515,3,6003,16,12,19,0,47,76,10,41,0,127,22,2,4,0,28,5,5,7,0,17,73,2,57,0,132,456,860,760,0,2076,6,11,14,0,31,16836,
Pierce,10,6,16,0,32,5,7,16,0,28,623,475,2936,0,4034,3,4,7,0,14,42,14,137,0,193,12,4,20,0,36,24,8,90,0,122,23,51,121,0,195,7,19,42,0,68,39,18,90,0,147,15,16,37,0,68,8,32,81,0,121,366,378,2077,0,2821,6,7,24,0,37,15,10,25,0,50,3,2,5,0,10,4,3,3,0,10,49,21,238,0,308,45,171,262,0,478,5,4,5,0,14,8786,
Pike,8,6,9,0,23,9,2,13,0,24,849,341,2342,0,3532,6,7,8,0,21,57,13,83,0,153,8,3,6,0,17,20,4,52,0,76,45,31,64,0,140,10,11,18,0,39,48,3,86,0,137,5,9,25,0,39,21,22,43,0,86,1255,559,3151,0,4965,8,4,14,0,26,23,5,24,0,52,4,3,7,0,14,5,4,5,0,14,27,3,56,0,86,200,414,504,0,1118,3,3,8,0,14,10576,
Polk,16,12,25,0,53,16,10,31,1,58,1014,718,3496,2,5230,10,14,13,0,37,95,26,167,3,291,21,0,45,0,66,60,18,128,0,206,94,103,281,0,478,35,41,89,0,165,64,14,120,1,199,39,34,89,1,163,72,60,168,0,300,1394,860,4680,8,6942,20,13,51,0,84,35,11,54,0,100,8,4,10,0,22,7,15,12,0,34,59,17,131,0,207,352,757,1217,5,2331,7,10,35,0,52,17018,
Pulaski,4,2,5,0,11,2,6,5,0,13,102,118,916,1,1137,1,3,1,0,5,9,5,31,0,45,1,1,3,0,5,2,0,15,0,17,32,49,101,0,182,9,9,24,0,42,12,1,18,0,31,10,8,34,0,52,8,9,33,0,50,190,182,1108,0,1480,5,3,12,0,20,4,1,9,0,14,1,2,3,0,6,1,2,5,0,8,8,1,23,0,32,91,236,488,0,815,2,2,10,0,14,3979,
Putnam,8,14,7,0,29,12,10,8,0,30,613,752,2228,1,3594,7,4,4,0,15,33,30,89,0,152,7,6,15,0,28,35,12,45,0,92,85,126,197,0,408,17,36,48,0,101,25,13,46,0,84,19,28,45,0,92,30,68,59,0,157,776,966,2466,0,4208,15,12,26,0,53,16,8,24,0,48,5,5,10,0,20,4,13,7,0,24,21,8,32,0,61,267,1082,1096,0,2445,19,12,22,0,53,11694,
Quitman,0,0,3,0,3,2,0,0,0,2,49,38,175,0,262,0,0,2,0,2,5,1,9,0,15,3,1,2,0,6,3,2,2,0,7,36,16,33,0,85,7,4,7,0,18,5,0,6,0,11,8,3,9,1,21,9,8,10,0,27,83,53,149,0,285,13,1,9,0,23,1,0,0,0,1,1,0,2,0,3,0,6,2,0,8,2,1,5,0,8,78,91,114,0,283,4,1,2,0,7,1077,
Rabun,9,10,9,0,28,9,11,19,0,39,649,1061,2866,0,4576,4,13,13,0,30,24,28,50,0,102,5,5,5,0,15,22,16,48,0,86,30,70,91,0,191,8,15,19,0,42,23,6,45,0,74,10,17,26,0,53,30,65,112,0,207,400,585,1490,0,2475,6,9,26,0,41,22,11,38,0,71,6,3,8,0,17,4,11,11,0,26,24,11,34,0,69,91,586,546,0,1223,5,11,5,0,21,9386,
Randolph,3,3,6,0,12,3,4,2,0,9,129,86,365,0,580,3,1,1,0,5,12,4,13,0,29,5,0,7,0,12,6,1,8,0,15,86,49,114,0,249,11,12,15,0,38,3,2,11,0,16,15,12,35,0,62,10,5,22,0,37,144,118,444,0,706,16,7,15,0,38,1,1,3,0,5,0,0,0,0,0,3,1,6,0,10,5,2,3,0,10,259,354,564,2,1179,3,2,5,0,10,3022,
Richmond,64,125,82,0,271,115,116,79,0,310,2704,2153,4193,0,9050,74,117,79,0,270,237,111,212,0,560,76,65,100,0,241,256,118,218,0,592,2157,1862,3409,0,7428,737,729,1216,0,2682,188,78,184,0,450,701,583,1080,0,2364,634,457,991,0,2082,4751,3772,6840,0,15363,359,134,530,0,1023,219,103,181,0,503,83,73,83,0,239,855,3202,2524,0,6581,160,56,178,0,394,5956,12974,15249,0,34179,227,192,348,0,767,85349,
Rockdale,29,41,48,0,118,32,40,55,0,127,748,1036,2625,3,4412,19,45,45,0,109,57,52,137,1,247,39,16,46,1,102,56,57,122,1,236,671,901,2523,8,4103,228,294,752,0,1274,43,24,88,0,155,240,309,843,3,1395,200,251,601,0,1052,1368,1802,4146,7,7323,128,62,360,1,551,64,34,110,0,208,31,25,58,0,114,18,71,99,0,188,63,28,105,0,196,2019,7123,12792,8,21942,76,71,211,2,360,44212,
Schley,0,1,2,0,3,3,0,2,0,5,137,74,651,1,863,1,0,2,0,3,5,2,27,0,34,3,3,4,0,10,6,1,23,0,30,9,16,41,0,66,2,1,8,0,11,4,0,21,0,25,3,2,11,0,16,4,2,11,0,17,127,80,567,0,774,2,1,10,0,13,3,2,4,0,9,1,0,0,0,1,0,2,0,0,2,8,1,20,0,29,44,118,153,0,315,0,0,0,0,0,2226,
Screven,6,2,5,0,13,3,7,8,0,18,458,192,817,7,1474,3,3,4,0,10,33,6,49,0,88,8,3,4,0,15,20,5,22,0,47,111,98,211,2,422,36,20,57,0,113,23,3,40,0,66,35,24,70,0,129,35,25,67,1,128,645,294,1136,3,2078,9,5,21,0,35,8,2,17,0,27,2,0,5,0,7,4,9,8,0,21,26,2,27,0,55,369,538,774,4,1685,6,6,13,0,25,6456,
Seminole,7,2,10,0,19,9,8,8,0,25,430,145,688,0,1263,3,0,5,0,8,26,11,59,0,96,3,2,7,0,12,16,5,29,0,50,100,36,209,0,345,23,12,45,0,80,14,5,30,0,49,25,11,48,0,84,29,16,63,0,108,402,99,520,0,1021,11,4,22,0,37,7,1,6,0,14,2,1,6,0,9,3,6,9,0,18,25,3,20,0,48,65,132,222,0,419,8,11,19,0,38,3743,
Spalding,29,13,21,6,69,33,23,33,8,97,1743,1341,3569,205,6858,16,20,13,2,51,119,60,132,19,330,16,14,15,5,50,94,31,107,12,244,413,315,568,42,1338,154,130,164,22,470,96,19,95,7,217,133,117,184,19,453,140,120,164,7,431,2893,1969,4658,239,9759,73,21,96,6,196,99,24,47,12,182,18,15,17,2,52,9,23,19,2,53,88,24,90,9,211,1617,3358,3339,229,8543,37,30,35,7,109,29713,
Stephens,5,5,21,0,31,6,10,23,0,39,760,997,4892,3,6652,9,7,18,0,34,34,21,127,0,182,8,2,11,0,21,33,23,91,0,147,54,120,217,0,391,24,31,72,0,127,26,5,71,0,102,18,26,55,0,99,30,61,131,0,222,298,347,1480,1,2126,13,5,36,0,54,25,16,44,0,85,7,3,13,0,23,3,9,13,0,25,29,7,67,0,103,136,411,597,0,1144,4,16,11,0,31,11638,
Stewart,2,1,2,0,5,1,0,1,0,2,94,51,244,1,390,0,1,1,0,2,7,1,12,0,20,3,1,6,0,10,3,0,2,0,5,61,37,85,0,183,14,9,14,0,37,1,2,4,0,7,9,5,17,0,31,29,6,29,0,64,95,53,175,4,327,7,4,11,0,22,3,0,2,0,5,2,1,2,0,5,2,1,3,2,8,2,0,4,0,6,156,285,318,5,764,2,5,6,0,13,1906,
Sumter,12,12,26,0,50,3,7,7,0,17,703,370,1655,7,2735,6,5,12,0,23,23,12,52,1,88,12,10,26,1,49,29,9,56,0,94,207,148,452,1,808,49,47,94,0,190,33,7,34,0,74,63,33,143,1,240,59,47,164,0,270,653,428,1468,4,2553,17,3,51,0,71,19,2,15,0,36,5,2,6,0,13,11,19,27,0,57,28,8,42,0,78,711,1630,2129,4,4474,19,13,26,0,58,11978,
Talbot,1,3,1,0,5,8,6,2,0,16,192,96,333,0,621,7,2,2,0,11,11,5,6,0,22,2,1,4,0,7,8,3,7,0,18,79,66,70,0,215,23,23,14,0,60,10,6,10,0,26,22,30,32,0,84,20,13,17,0,50,225,131,320,1,677,11,11,7,0,29,6,3,5,0,14,1,0,2,0,3,5,9,6,0,20,7,5,4,0,16,348,735,448,0,1531,10,6,11,0,27,3452,
Taliaferro,2,2,0,0,4,0,2,1,0,3,38,25,87,0,150,0,1,1,0,2,2,1,5,0,8,2,0,2,0,4,2,0,3,0,5,26,39,47,0,112,3,4,11,0,18,1,1,4,0,6,3,5,4,0,12,3,4,9,0,16,48,34,96,0,178,5,3,3,0,11,0,0,0,0,0,0,1,0,0,1,1,3,1,0,5,0,0,2,0,2,57,154,132,0,343,1,2,1,0,4,884,
Tattnall,10,6,10,0,26,11,12,20,0,43,520,321,1491,0,2332,5,4,11,0,20,40,13,76,0,129,7,8,8,0,23,15,12,46,0,73,91,61,176,0,328,25,18,55,0,98,33,14,48,0,95,34,25,43,0,102,32,19,79,0,130,783,430,1834,0,3047,8,12,16,0,36,20,3,18,0,41,4,2,7,0,13,1,7,10,0,18,50,15,95,0,160,218,343,639,0,1200,5,7,11,0,23,7937,
Taylor,5,2,6,0,13,2,2,6,0,10,143,117,786,4,1050,0,0,6,0,6,5,10,35,0,50,2,0,4,1,7,5,0,15,0,20,52,49,108,0,209,9,8,20,0,37,6,4,30,2,42,7,12,22,0,41,15,14,21,0,50,157,162,849,5,1173,3,2,8,0,13,2,1,10,0,13,0,5,2,0,7,1,6,5,0,12,11,2,21,0,34,193,368,399,2,962,7,3,9,1,20,3769,
Telfair,5,2,3,0,10,3,4,6,0,13,387,158,748,0,1293,1,0,3,0,4,20,1,23,0,44,6,1,2,0,9,12,4,13,2,31,64,40,93,3,200,7,10,23,0,40,20,2,20,0,42,14,65,31,0,110,15,15,32,0,62,406,189,591,1,1187,6,5,8,0,19,5,0,3,0,8,1,0,2,0,3,1,1,1,0,3,45,3,45,0,93,205,443,351,3,1002,5,2,8,0,15,4188,
Terrell,2,8,3,0,13,3,7,1,0,11,255,116,453,0,824,3,4,7,0,14,13,2,24,0,39,6,2,6,0,14,11,1,8,0,20,132,87,165,0,384,25,21,25,0,71,16,5,11,0,32,31,32,54,0,117,30,24,39,0,93,350,153,555,0,1058,12,7,23,0,42,9,2,7,0,18,2,0,2,0,4,4,9,4,0,17,16,2,9,0,27,294,598,615,1,1508,13,13,16,0,42,4348,
Thomas,17,22,39,0,78,38,28,54,0,120,1144,772,3843,0,5759,18,16,25,0,59,83,31,304,0,418,18,13,38,0,69,71,26,184,1,282,369,418,1164,2,1953,108,131,318,0,557,68,20,189,0,277,107,127,333,0,567,109,149,434,0,692,1158,798,3769,0,5725,52,31,146,0,229,42,13,54,0,109,9,7,18,0,34,10,52,50,0,112,82,25,186,0,293,591,1231,1985,2,3809,23,37,51,0,111,21253,
Tift,12,10,14,0,36,7,24,36,0,67,1040,521,2910,2,4473,7,3,20,0,30,65,14,97,0,176,10,7,25,0,42,37,11,64,1,113,191,158,355,9,713,37,51,112,0,200,50,12,74,0,136,86,78,194,1,359,75,56,158,0,289,1403,687,3507,6,5603,30,13,57,0,100,29,16,44,0,89,7,2,8,0,17,3,14,16,1,34,46,3,98,0,147,656,946,1676,6,3284,18,16,45,0,79,15987,
Toombs,11,11,19,0,41,14,10,19,0,43,706,522,2274,1,3503,3,9,6,0,18,59,16,84,0,159,9,1,11,0,21,38,14,50,0,102,112,145,198,1,456,24,35,57,0,116,54,18,67,0,139,50,54,79,0,183,35,49,91,0,175,751,609,2092,4,3456,15,4,21,0,40,30,2,21,0,53,6,4,7,0,17,4,8,9,0,21,113,24,178,0,315,311,690,756,3,1760,9,5,19,0,33,10651,
Towns,9,2,5,0,16,4,7,12,0,23,588,751,2655,5,3999,2,3,5,0,10,14,15,49,2,80,4,4,8,0,16,16,9,35,0,60,20,65,83,0,168,4,9,14,0,27,16,6,26,0,48,2,17,24,0,43,17,58,88,0,163,297,430,1308,1,2036,4,14,13,0,31,9,4,16,0,29,1,1,5,0,7,1,8,3,0,12,18,2,25,0,45,74,494,449,0,1017,1,8,7,1,17,7847,
Treutlen,0,4,6,0,10,5,4,11,0,20,156,117,644,0,917,3,3,1,0,7,15,1,34,0,50,1,0,2,0,3,6,0,18,0,24,23,44,106,0,173,4,12,27,0,43,11,1,18,0,30,6,13,27,0,46,10,16,25,0,51,198,143,624,0,965,4,1,6,0,11,5,2,2,0,9,1,0,2,0,3,2,1,1,0,4,10,3,25,0,38,68,172,311,0,551,3,4,3,0,10,2965,
Troup,26,16,36,0,78,40,30,35,1,106,1710,1226,4429,20,7385,17,23,26,0,66,119,38,216,3,376,32,10,21,0,63,122,26,179,5,332,522,348,870,9,1749,139,96,190,2,427,111,19,128,1,259,178,121,282,1,582,184,130,300,2,616,2323,1586,5245,11,9165,60,25,97,1,183,61,21,73,1,156,25,6,25,0,56,12,36,24,0,72,87,17,150,2,256,1653,2462,3348,14,7477,45,31,68,0,144,29548,
Turner,8,1,6,0,15,2,4,10,0,16,135,90,631,0,856,1,1,2,0,4,6,4,27,0,37,2,4,9,0,15,2,6,16,0,24,68,31,99,0,198,17,11,31,0,59,11,0,20,0,31,20,19,54,0,93,15,10,40,0,65,196,132,981,1,1310,11,4,15,0,30,12,1,12,0,25,0,0,2,0,2,0,4,6,0,10,8,1,26,1,36,179,184,503,0,866,6,5,14,0,25,3717,
Twiggs,4,8,2,0,14,4,7,2,0,13,291,115,503,0,909,2,0,2,0,4,15,3,21,0,39,3,0,2,0,5,9,2,9,0,20,59,59,91,2,211,25,22,21,0,68,17,4,13,0,34,15,22,24,1,62,20,15,29,0,64,465,177,629,0,1271,7,4,21,0,32,10,2,5,0,17,1,2,0,0,3,0,3,6,0,9,9,3,19,0,31,296,549,663,0,1508,6,9,15,0,30,4344,
Union,7,6,11,0,24,8,10,15,0,33,2142,1449,4502,7,8100,5,16,11,0,32,48,23,88,1,160,4,2,11,0,17,32,17,55,1,105,36,117,133,0,286,11,9,27,0,47,28,10,52,1,91,13,20,28,0,61,41,85,114,0,240,1009,758,2178,0,3945,12,11,26,0,49,27,17,28,0,72,7,4,12,0,23,4,17,14,0,35,42,7,47,0,96,196,907,801,0,1904,5,21,16,0,42,15362,
Upson,9,9,17,0,35,8,11,11,0,30,518,478,2642,1,3639,7,10,6,0,23,57,18,100,0,175,9,3,17,0,29,27,11,77,0,115,111,102,245,0,458,42,39,93,0,174,26,4,67,0,97,27,29,79,0,135,38,39,91,0,168,634,651,2951,3,4239,13,11,42,0,66,26,13,31,0,70,7,2,6,0,15,6,11,9,0,26,20,7,83,0,110,413,1250,1416,0,3079,7,16,17,0,40,12723,
Walker,42,23,47,0,112,54,45,45,0,144,1758,1260,4682,4,7704,29,31,45,0,105,228,93,468,0,789,63,32,116,0,211,194,64,322,0,580,171,346,505,0,1022,56,79,162,2,299,174,46,308,1,529,59,76,126,0,261,186,318,424,0,928,2773,2000,7484,1,12258,47,38,97,0,182,121,49,125,0,295,27,8,39,0,74,18,73,62,0,153,176,48,408,1,633,309,889,915,0,2113,25,71,48,0,144,28536,
