county,ai_male_17.5,ai_female_17.5,ai_unknown_17.5,ap_male_17.5,ap_female_17.5,ap_unknown_17.5,bh_male_17.5,bh_female_17.5,bh_unknown_17.5,hp_male_17.5,hp_female_17.5,hp_unknown_17.5,wh_male_17.5,wh_female_17.5,wh_unknown_17.5,ot_male_17.5,ot_female_17.5,ot_unknown_17.5,uk_male_17.5,uk_female_17.5,uk_unknown_17.5,ai_male_18-24,ai_female_18-24,ai_unknown_18-24,ap_male_18-24,ap_female_18-24,ap_unknown_18-24,bh_male_18-24,bh_female_18-24,bh_unknown_18-24,hp_male_18-24,hp_female_18-24,hp_unknown_18-24,wh_male_18-24,wh_female_18-24,wh_unknown_18-24,ot_male_18-24,ot_female_18-24,ot_unknown_18-24,uk_male_18-24,uk_female_18-24,uk_unknown_18-24,ai_male_25-29,ai_female_25-29,ai_unknown_25-29,ap_male_25-29,ap_female_25-29,ap_unknown_25-29,bh_male_25-29,bh_female_25-29,bh_unknown_25-29,hp_male_25-29,hp_female_25-29,hp_unknown_25-29,wh_male_25-29,wh_female_25-29,wh_unknown_25-29,ot_male_25-29,ot_female_25-29,ot_unknown_25-29,uk_male_25-29,uk_female_25-29,uk_unknown_25-29,ai_male_30-34,ai_female_30-34,ai_unknown_30-34,ap_male_30-34,ap_female_30-34,ap_unknown_30-34,bh_male_30-34,bh_female_30-34,bh_unknown_30-34,hp_male_30-34,hp_female_30-34,hp_unknown_30-34,wh_male_30-34,wh_female_30-34,wh_unknown_30-34,ot_male_30-34,ot_female_30-34,ot_unknown_30-34,uk_male_30-34,uk_female_30-34,uk_unknown_30-34,ai_male_35-39,ai_female_35-39,ai_unknown_35-39,ap_male_35-39,ap_female_35-39,ap_unknown_35-39,bh_male_35-39,bh_female_35-39,bh_unknown_35-39,hp_male_35-39,hp_female_35-39,hp_unknown_35-39,wh_male_35-39,wh_female_35-39,wh_unknown_35-39,ot_male_35-39,ot_female_35-39,ot_unknown_35-39,uk_male_35-39,uk_female_35-39,uk_unknown_35-39,ai_male_40-44,ai_female_40-44,ai_unknown_40-44,ap_male_40-44,ap_female_40-44,ap_unknown_40-44,bh_male_40-44,bh_female_40-44,bh_unknown_40-44,hp_male_40-44,hp_female_40-44,hp_unknown_40-44,wh_male_40-44,wh_female_40-44,wh_unknown_40-44,ot_male_40-44,ot_female_40-44,ot_unknown_40-44,uk_male_40-44,uk_female_40-44,uk_unknown_40-44,ai_male_45-49,ai_female_45-49,ai_unknown_45-49,ap_male_45-49,ap_female_45-49,ap_unknown_45-49,bh_male_45-49,bh_female_45-49,bh_unknown_45-49,hp_male_45-49,hp_female_45-49,hp_unknown_45-49,wh_male_45-49,wh_female_45-49,wh_unknown_45-49,ot_male_45-49,ot_female_45-49,ot_unknown_45-49,uk_male_45-49,uk_female_45-49,uk_unknown_45-49,ai_male_50-54,ai_female_50-54,ai_unknown_50-54,ap_male_50-54,ap_female_50-54,ap_unknown_50-54,bh_male_50-54,bh_female_50-54,bh_unknown_50-54,hp_male_50-54,hp_female_50-54,hp_unknown_50-54,wh_male_50-54,wh_female_50-54,wh_unknown_50-54,ot_male_50-54,ot_female_50-54,ot_unknown_50-54,uk_male_50-54,uk_female_50-54,uk_unknown_50-54,ai_male_55-59,ai_female_55-59,ai_unknown_55-59,ap_male_55-59,ap_female_55-59,ap_unknown_55-59,bh_male_55-59,bh_female_55-59,bh_unknown_55-59,hp_male_55-59,hp_female_55-59,hp_unknown_55-59,wh_male_55-59,wh_female_55-59,wh_unknown_55-59,ot_male_55-59,ot_female_55-59,ot_unknown_55-59,uk_male_55-59,uk_female_55-59,uk_unknown_55-59,ai_male_60-64,ai_female_60-64,ai_unknown_60-64,ap_male_60-64,ap_female_60-64,ap_unknown_60-64,bh_male_60-64,bh_female_60-64,bh_unknown_60-64,hp_male_60-64,hp_female_60-64,hp_unknown_60-64,wh_male_60-64,wh_female_60-64,wh_unknown_60-64,ot_male_60-64,ot_female_60-64,ot_unknown_60-64,uk_male_60-64,uk_female_60-64,uk_unknown_60-64,ai_male_65+,ai_female_65+,ai_unknown_65+,ap_male_65+,ap_female_65+,ap_unknown_65+,bh_male_65+,bh_female_65+,bh_unknown_65+,hp_male_65+,hp_female_65+,hp_unknown_65+,wh_male_65+,wh_female_65+,wh_unknown_65+,ot_male_65+,ot_female_65+,ot_unknown_65+,uk_male_65+,uk_female_65+,uk_unknown_65+
Dodge County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,166,186,0,11,8,0,364,384,1,10,8,0,77,64,0,0,1,0,2,3,0,122,163,0,6,4,0,267,258,1,3,7,0,33,26,2,0,1,0,2,2,0,89,137,0,3,4,0,254,292,0,6,4,0,29,21,0,0,0,0,1,1,0,80,119,0,1,2,0,269,285,0,2,2,0,13,16,0,0,0,0,0,0,0,76,133,0,7,3,0,280,302,1,1,4,0,19,18,0,1,0,0,1,4,0,98,145,0,2,5,0,300,313,0,0,2,0,16,13,0,0,0,0,2,1,0,126,152,0,4,3,0,357,356,0,0,2,0,15,14,0,0,1,0,1,2,0,118,163,0,1,0,0,356,371,0,2,0,0,17,24,0,3,0,0,1,2,0,100,120,0,0,0,0,327,356,0,4,3,0,22,27,0,1,1,0,4,5,0,218,368,0,2,5,0,990,1177,1,2,2,0,36,37,0
Dooly County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,176,204,0,17,20,0,111,115,0,1,3,0,20,19,0,0,0,0,0,0,0,96,145,0,5,13,0,85,87,0,5,2,0,5,8,0,0,0,0,0,0,0,90,117,0,3,6,0,89,93,0,1,2,0,6,6,0,0,1,0,1,2,0,100,113,0,3,4,0,71,84,0,2,3,0,5,6,0,0,0,0,2,0,0,81,154,0,2,3,0,80,89,0,2,1,0,12,6,0,0,2,0,2,2,0,89,118,0,1,6,0,80,75,0,2,2,0,6,5,0,0,0,0,0,0,0,82,133,1,1,3,0,115,109,0,1,0,0,11,12,1,0,2,0,2,0,0,103,141,0,2,4,0,133,147,0,1,0,0,13,10,0,0,0,0,1,3,0,100,135,0,1,0,0,140,152,0,2,0,0,14,7,0,0,0,0,1,2,0,250,344,0,4,1,0,443,524,0,1,2,0,19,21,1
Dougherty County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,19,17,0,2775,3410,89,57,49,3,623,650,10,72,94,1,507,426,20,6,4,0,21,7,0,1923,2420,56,42,30,0,481,529,4,51,39,1,219,196,12,6,5,0,18,9,1,1626,2208,23,30,26,0,521,464,7,35,32,0,189,169,8,8,2,0,16,13,0,1315,2008,19,20,28,0,438,460,0,25,33,2,153,149,6,5,7,0,5,13,0,1304,1881,20,17,20,0,463,460,3,20,20,0,171,139,8,4,1,0,13,10,0,1293,1702,24,13,15,0,477,524,1,16,23,2,175,146,1,1,4,0,11,14,0,1223,1655,16,14,15,0,508,588,2,9,18,0,184,147,5,6,1,0,14,13,0,1287,1858,27,20,12,0,631,718,1,14,10,0,188,170,2,2,1,0,10,15,0,1224,1683,15,18,15,1,692,835,3,7,18,2,186,151,5,5,3,0,20,29,0,2678,3937,28,28,29,0,2422,3177,6,15,16,1,372,406,20
Douglas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0,71,93,2,3544,3665,32,566,589,2,1934,1835,22,239,289,6,678,583,19,17,17,0,52,65,0,2166,2619,9,254,312,1,1387,1444,6,140,196,0,478,434,9,16,11,0,46,51,0,1803,2494,6,168,214,1,1259,1392,1,95,150,0,393,463,13,14,7,0,49,56,1,1668,2505,5,136,168,0,1193,1322,2,97,140,0,426,543,4,11,10,0,28,52,0,1829,2748,5,107,187,0,1206,1383,1,85,133,0,442,535,3,8,11,0,36,52,0,2102,2887,4,139,172,0,1406,1587,0,75,109,0,414,524,4,11,11,0,48,53,0,2091,2635,1,136,142,0,1618,1855,2,65,90,0,462,500,3,11,11,0,40,54,0,1708,2139,10,117,114,0,1888,1984,1,59,80,1,390,428,2,9,10,0,43,38,0,1196,1632,5,79,75,0,1804,1808,2,46,57,0,327,325,2,9,13,0,75,73,0,1793,2673,5,127,150,1,4469,5448,3,101,113,0,589,712,8
Early County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,194,230,4,3,6,0,159,140,2,3,6,0,41,35,1,0,1,0,0,1,0,167,188,1,0,1,0,99,99,0,1,4,0,16,9,0,0,1,0,2,1,0,144,172,0,3,0,0,107,144,0,1,2,0,7,12,0,0,1,0,0,3,0,121,187,0,1,0,0,81,98,0,1,0,0,11,5,0,0,1,0,0,1,0,109,179,0,0,2,0,113,117,0,1,2,0,11,8,0,1,1,0,1,0,0,111,157,0,0,3,0,130,127,0,0,2,0,10,7,0,0,0,0,1,0,0,129,168,0,0,0,0,142,144,0,0,0,0,5,9,0,0,0,0,1,1,0,129,170,0,0,0,0,168,173,0,2,0,0,8,7,0,0,0,0,0,2,0,128,177,0,1,1,0,153,144,0,0,2,0,12,9,0,1,0,0,3,2,0,241,439,0,1,1,0,506,610,0,0,1,0,20,17,0
Echols County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,39,27,0,91,104,1,4,1,0,6,4,0,1,0,0,0,1,0,5,3,0,17,17,0,73,75,0,2,1,0,6,3,0,2,0,0,0,0,0,2,0,0,8,14,0,72,76,0,2,0,0,3,5,0,0,1,0,0,0,0,5,8,0,5,6,0,77,75,0,0,0,0,5,4,0,0,1,0,0,0,0,4,3,0,3,7,0,63,75,0,0,1,0,3,2,0,2,1,0,0,0,0,2,7,0,4,5,0,73,75,0,2,1,0,7,5,0,0,0,0,0,1,0,4,7,0,5,1,0,53,65,0,0,2,0,7,6,0,0,0,0,0,0,0,6,4,0,3,3,0,91,88,0,0,1,0,5,2,0,0,0,0,1,0,0,7,8,0,2,1,0,79,69,0,1,1,0,8,3,0,1,1,0,0,0,0,4,17,0,3,2,0,174,213,0,2,0,0,5,7,0
Effingham County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,22,21,1,363,405,2,101,98,2,1861,1772,12,66,49,2,272,242,7,7,10,0,11,20,0,216,291,1,54,59,0,1314,1408,5,35,37,0,230,217,3,6,6,0,13,15,0,228,319,0,41,58,0,1511,1665,2,24,37,0,183,176,4,7,4,0,10,32,0,246,297,1,55,63,0,1544,1617,3,23,31,0,201,199,3,4,3,0,12,21,0,228,306,1,49,55,2,1412,1533,3,22,19,0,201,190,1,11,10,0,12,19,0,224,255,0,60,45,0,1473,1464,1,16,12,0,191,196,2,6,5,0,14,15,0,244,255,0,31,38,0,1405,1498,2,11,28,0,174,173,2,4,5,0,10,11,0,182,249,0,36,30,0,1470,1523,6,15,15,0,147,155,3,5,2,0,6,9,0,203,230,0,16,23,0,1294,1393,2,7,7,0,133,163,1,3,7,0,13,20,0,320,409,2,18,22,0,2702,3031,4,13,13,0,286,334,2
Elbert County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,0,129,147,1,21,28,0,332,384,2,6,9,1,71,67,8,0,2,0,1,2,1,123,150,0,5,10,0,272,295,0,6,8,1,30,27,0,0,0,0,1,0,0,95,145,0,9,7,0,265,278,0,5,8,0,19,20,2,1,1,0,3,6,0,83,147,0,6,6,0,258,267,0,5,8,0,24,22,1,1,1,0,2,4,0,90,151,0,7,5,0,256,276,0,2,7,0,19,21,0,0,2,0,5,5,0,93,114,0,5,6,0,277,310,0,1,2,0,19,21,1,0,1,0,6,4,0,98,169,0,5,3,0,310,359,2,4,3,0,34,16,1,0,2,0,0,6,0,108,161,0,5,3,0,375,417,0,4,1,0,28,34,1,0,1,0,6,1,0,139,200,0,2,1,0,366,399,0,2,4,0,25,21,1,1,1,0,6,5,0,307,432,0,5,5,0,1161,1400,0,4,4,0,75,50,1
Emanuel County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,194,242,3,17,33,0,360,390,2,10,16,0,186,140,1,0,1,0,3,0,0,142,219,1,5,6,0,273,311,1,1,7,0,84,73,0,0,1,0,2,2,0,158,231,0,6,6,0,293,347,0,4,8,0,66,25,1,2,0,0,4,3,0,136,217,0,4,3,0,322,341,0,3,1,0,34,32,0,0,0,0,1,2,0,144,192,0,5,5,0,321,313,0,6,4,0,35,40,1,1,0,0,2,2,0,124,170,0,3,6,0,316,319,0,1,2,0,45,36,0,0,1,0,1,4,0,121,174,0,6,4,0,311,327,0,4,2,0,39,36,0,1,1,0,1,4,0,134,210,0,1,0,0,359,436,1,6,3,0,35,34,0,0,1,0,2,1,0,136,202,0,1,0,0,343,413,1,1,0,0,32,39,0,0,2,0,3,3,0,312,500,0,6,5,0,1041,1268,1,1,0,0,102,95,0
Evans County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,79,94,0,31,38,0,173,205,1,10,9,0,53,39,1,0,1,0,1,0,0,71,79,0,9,16,0,93,116,0,2,2,0,40,18,0,0,0,0,0,1,0,64,79,0,6,7,0,140,135,0,4,1,0,13,15,0,0,0,0,1,2,0,45,82,0,1,4,0,141,153,0,1,4,0,25,18,0,0,0,0,2,2,0,32,78,0,0,2,0,130,142,0,4,4,0,22,23,0,0,0,0,1,3,0,46,71,0,4,1,0,138,171,0,0,3,0,19,16,0,0,1,0,2,2,0,38,71,0,4,4,0,168,125,2,3,3,0,24,19,0,0,0,0,1,2,0,78,87,1,3,3,0,158,183,0,1,2,0,18,16,0,2,0,0,1,1,0,60,87,0,4,1,0,176,211,0,1,2,0,19,15,0,0,2,0,1,2,0,134,226,0,2,3,0,475,577,0,2,0,0,42,36,0
Fannin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,2,4,0,9,1,0,21,12,0,763,765,3,8,10,1,37,32,2,0,2,0,1,2,0,4,4,0,10,10,0,510,548,2,6,8,0,39,28,0,4,0,0,1,2,0,2,5,0,4,9,0,533,536,0,7,6,0,32,35,0,3,1,0,1,3,0,3,3,0,0,6,0,492,541,1,7,5,0,39,29,0,1,3,0,1,6,0,0,2,0,4,4,0,551,602,1,6,4,0,40,33,0,0,0,0,1,4,0,2,1,0,7,7,0,597,612,1,4,2,0,40,35,0,3,5,0,2,4,0,2,3,0,7,7,0,690,745,0,5,3,0,32,42,0,2,3,0,2,4,0,1,1,0,6,13,0,826,984,0,6,2,0,56,70,2,4,9,0,4,5,0,1,2,0,5,14,0,964,1069,0,8,8,0,62,62,0,6,4,0,4,12,0,2,3,0,6,10,0,3106,3408,6,13,7,1,170,153,1
Fayette County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,189,219,3,1549,1597,22,295,359,2,3058,2861,27,182,221,1,584,471,17,5,7,1,90,91,0,824,903,3,136,162,1,1768,1724,6,100,89,0,403,370,9,9,4,0,57,72,0,652,810,0,93,123,0,1573,1589,4,83,78,0,335,344,2,7,6,0,68,119,0,621,868,1,100,167,0,1638,1703,10,74,88,0,411,491,8,5,9,0,95,139,1,691,959,4,115,141,0,1615,1783,4,73,80,0,372,482,3,8,10,0,112,143,1,859,1132,2,122,157,0,1798,2053,6,47,68,1,446,491,5,7,9,0,133,135,2,948,1134,2,107,130,1,2229,2385,7,49,76,0,498,462,4,7,3,0,89,108,0,886,1061,3,112,107,0,2570,2845,6,56,72,0,500,514,6,8,4,0,81,82,2,830,932,2,63,75,0,2553,2842,1,42,55,0,423,409,5,8,8,0,125,168,2,1612,2112,3,118,150,1,7178,8397,16,90,111,1,895,1132,2
Floyd County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,36,48,0,356,470,2,257,314,2,2038,2255,11,68,88,1,692,536,7,3,6,0,32,31,0,302,449,0,132,175,1,1592,1705,4,35,43,0,405,338,2,2,6,0,30,39,0,304,452,0,86,91,0,1651,1862,1,33,30,1,256,246,1,3,4,0,20,18,0,250,410,1,59,87,0,1459,1788,5,17,22,0,199,189,1,4,4,0,15,25,0,256,396,1,44,59,0,1477,1622,2,17,20,0,172,166,0,8,2,0,22,31,1,294,383,1,46,46,0,1671,1837,2,12,19,0,179,175,1,4,3,0,18,31,1,261,362,0,60,50,0,1783,1993,4,10,13,0,185,151,2,5,2,0,20,28,1,290,356,1,56,41,0,1870,2159,1,8,11,0,154,161,0,2,0,0,22,21,0,287,353,0,30,27,0,1881,2127,1,9,6,0,138,156,0,6,7,0,36,41,0,570,848,0,57,51,0,5507,6676,3,10,7,0,331,359,1
Forsyth County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,0,829,876,9,444,461,5,745,796,4,7143,7327,76,329,358,3,1205,983,51,15,17,2,260,258,1,207,228,2,322,351,3,3486,3613,20,125,139,3,885,693,25,10,14,0,227,350,0,201,266,0,203,284,2,3286,3558,14,105,130,0,814,821,21,8,26,0,424,930,1,250,301,0,228,302,1,3696,4226,15,127,189,2,1045,1161,27,25,34,0,1035,1397,9,303,392,3,261,386,2,4041,4682,14,177,219,1,1388,1498,43,33,23,0,1419,1065,4,359,378,2,295,343,0,5003,5501,13,198,157,2,1795,1630,34,17,16,0,750,527,7,270,317,2,271,279,1,5781,6109,20,144,121,1,1805,1480,23,5,23,0,359,293,4,222,199,2,216,182,1,5266,5393,20,98,91,0,1559,1410,28,10,9,0,203,215,2,113,140,2,116,118,0,3896,4168,18,64,56,1,1218,1121,18,15,18,0,520,481,7,178,280,1,170,228,1,8553,10425,31,124,142,0,3973,4523,39
Franklin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,3,0,46,71,0,28,26,0,699,657,3,11,16,0,93,60,0,5,0,0,5,4,0,54,63,0,10,7,0,499,507,0,2,4,0,50,41,0,0,0,0,3,2,0,50,52,0,7,7,0,499,501,0,7,7,0,50,36,0,2,0,0,4,10,0,34,54,0,4,3,0,405,454,0,5,4,0,35,34,0,2,0,0,4,4,0,30,50,0,6,5,0,417,422,1,4,4,1,38,34,0,1,2,0,7,2,0,39,35,0,2,2,0,471,523,0,4,5,0,37,40,1,1,0,0,3,5,0,37,42,0,6,5,0,562,582,0,0,2,0,60,39,0,2,1,0,8,6,0,43,45,0,4,6,1,581,621,0,3,3,0,45,41,0,1,0,0,5,9,0,27,45,0,4,3,0,566,600,1,3,4,0,48,43,0,0,1,0,6,6,0,71,107,0,10,9,0,1474,1734,0,4,9,0,105,81,0
Fulton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,144,1,2361,2550,35,22662,25490,219,2455,2716,21,15711,16732,216,1414,1840,49,3879,3516,376,137,87,2,1740,1764,16,20255,22790,115,1777,2003,12,17399,18462,159,1352,1729,23,4673,4443,241,127,84,0,1485,1441,13,18730,20814,81,1364,1489,11,16380,15907,80,1297,1508,18,5271,5055,166,91,77,0,1089,1368,9,15257,17690,46,884,1121,7,12541,12309,41,1017,1187,16,4871,4923,125,102,83,1,1168,1621,12,13726,16335,36,871,985,1,10851,10666,22,853,1043,8,4303,4507,79,90,68,0,1511,1743,17,12962,14828,31,827,957,4,12056,11928,27,767,827,10,4169,4394,89,68,59,0,1457,1400,22,11984,13311,34,762,777,4,13996,13446,26,680,716,10,4163,3727,72,43,44,1,1070,986,8,11500,12787,23,628,584,1,13602,13145,33,532,597,10,3613,3318,89,27,44,0,729,671,4,9581,11511,29,400,465,0,11442,11410,16,460,433,6,2828,2710,58,38,60,0,1183,1253,11,19161,29599,75,523,778,8,26038,31159,59,672,855,21,5542,7089,201
Gilmer County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,8,0,7,5,0,104,122,0,805,846,11,14,15,2,58,62,0,1,3,0,3,3,0,2,3,0,43,42,0,616,576,0,13,7,0,48,43,0,1,2,0,2,0,0,3,3,0,21,23,0,561,553,2,6,6,0,48,33,0,0,3,0,2,4,0,4,1,0,11,17,0,532,552,3,7,7,0,46,33,0,2,1,0,3,4,0,2,5,0,14,13,0,557,588,2,4,7,0,39,35,0,3,2,0,4,5,0,6,1,0,11,13,0,659,713,2,5,11,0,56,40,0,1,6,0,2,5,0,1,3,0,21,15,0,735,821,1,5,3,0,46,38,1,2,3,0,1,6,0,1,5,0,14,16,0,899,1005,1,6,6,0,62,61,0,2,2,0,4,7,0,5,1,0,9,17,0,1004,1161,1,7,6,0,54,80,0,8,2,0,6,8,0,11,7,0,33,19,0,3372,3517,3,22,19,0,195,174,3
Glascock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,105,105,1,0,3,0,9,9,0,0,0,0,0,0,0,8,3,0,0,0,0,65,61,0,0,0,0,4,4,0,0,0,0,0,0,0,4,5,0,0,0,0,56,61,0,0,0,0,2,1,0,0,0,0,0,1,0,7,4,0,0,0,0,52,75,0,1,1,0,1,1,0,0,0,0,1,1,0,2,6,0,1,1,0,77,76,0,1,0,0,1,5,0,0,0,0,1,0,0,3,8,0,0,0,0,76,84,0,0,0,0,3,4,0,0,1,0,0,0,0,2,7,0,0,0,0,83,79,0,1,0,0,5,1,0,0,0,0,0,0,0,10,8,0,0,0,0,73,71,0,0,0,0,5,2,0,0,0,0,0,0,0,8,10,0,0,0,0,80,92,0,0,1,0,6,3,0,0,0,0,0,0,0,6,15,0,0,0,0,186,256,0,0,0,0,10,9,0
Glynn County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,54,49,0,843,955,7,140,178,1,1749,1837,23,85,90,1,265,186,7,10,6,0,25,28,0,603,793,4,81,71,0,1266,1454,6,45,58,0,233,206,3,3,8,0,16,29,0,541,781,2,64,70,0,1330,1429,6,39,42,0,210,213,1,2,7,0,26,35,0,438,716,1,55,56,0,1213,1388,3,29,43,0,198,203,2,5,5,0,24,33,0,426,626,0,33,64,0,1254,1441,4,32,33,0,183,219,3,5,11,0,26,38,0,422,546,1,53,72,0,1387,1485,1,12,19,0,188,207,0,3,4,0,27,30,0,466,583,1,53,51,0,1491,1691,1,20,23,0,186,187,3,7,5,0,27,24,0,481,623,0,40,53,1,1730,2006,5,22,19,0,233,228,4,10,2,0,20,23,0,446,587,1,37,26,0,1663,2142,5,21,27,0,187,219,3,9,9,0,49,54,1,878,1280,2,56,56,0,5903,7206,13,42,42,0,567,586,7
Gordon County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,21,30,0,85,65,0,285,351,2,1599,1567,11,40,64,0,391,258,2,2,3,0,11,6,0,81,47,0,133,165,0,1171,1292,1,29,31,0,174,125,0,3,1,0,13,14,0,71,73,0,80,126,0,1087,1231,0,19,16,0,117,106,0,2,3,0,9,12,0,46,49,0,76,97,0,1077,1141,0,13,22,0,82,97,0,4,2,0,14,16,1,38,59,0,79,97,0,1040,1214,0,4,7,0,100,86,1,5,7,0,14,19,0,67,60,0,46,59,0,1248,1363,1,10,12,0,102,75,0,5,6,0,11,15,0,78,66,0,73,69,0,1309,1359,0,7,6,0,110,78,1,5,5,0,14,12,0,79,75,0,47,52,0,1301,1387,1,13,12,0,102,101,0,1,8,0,5,7,0,52,56,0,32,35,0,1159,1333,0,13,3,0,86,75,0,6,5,0,23,19,0,85,145,0,60,65,0,3064,3654,1,13,13,0,198,224,3
Grady County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,4,0,227,280,1,62,48,0,414,470,3,14,18,0,103,73,0,0,1,0,4,2,0,151,237,1,22,29,0,298,372,2,11,7,0,40,35,0,0,1,0,1,4,0,149,206,0,7,9,0,333,376,0,3,9,0,42,35,0,7,3,0,2,5,0,144,213,0,9,20,0,325,375,0,4,5,0,38,32,1,0,0,0,1,0,0,118,194,0,8,13,0,288,319,1,5,4,0,32,28,0,1,2,0,1,3,0,152,190,0,8,5,0,338,408,0,6,5,0,25,27,0,1,2,0,3,2,0,141,196,0,6,12,0,366,386,0,3,3,0,34,36,0,2,0,0,1,1,0,186,242,0,7,6,0,435,474,0,2,4,0,39,38,0,0,0,0,4,3,0,153,200,0,7,2,0,405,484,3,3,4,0,27,33,0,2,5,0,6,4,0,370,505,3,13,8,0,1331,1596,0,3,14,2,65,81,2
Greene County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,1,204,242,2,29,36,0,287,276,2,7,13,1,36,33,0,1,0,0,1,1,0,140,197,0,13,7,0,179,157,1,4,7,0,30,23,2,1,0,0,4,4,0,136,187,0,11,14,0,179,198,0,4,3,0,29,16,3,0,1,0,1,5,0,134,195,0,5,5,0,187,240,0,3,2,0,29,28,0,0,3,0,3,4,0,135,181,0,3,6,0,200,211,0,4,3,0,25,22,0,1,0,0,5,4,0,117,157,0,3,7,0,224,244,0,2,3,0,20,20,0,0,0,0,3,3,0,152,165,0,9,7,0,268,284,0,3,4,0,24,21,0,0,2,0,4,1,0,131,197,0,7,3,0,391,454,0,5,1,0,40,44,1,0,0,0,3,9,0,129,202,0,8,4,0,468,534,0,3,2,0,39,61,1,0,1,0,9,11,0,320,442,0,8,6,0,2062,2172,6,9,7,0,137,144,1
Gwinnett County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,102,0,4036,4029,48,12847,13316,136,7615,8046,61,12639,12298,133,1746,1979,33,3813,3172,212,84,77,0,2840,2712,28,7508,8493,64,3337,3757,21,8698,8547,80,974,1230,9,3314,3107,116,57,57,0,2460,2604,18,6664,8404,35,2455,2860,18,8463,8587,28,868,1115,4,2631,2806,90,51,60,0,2266,2483,16,6564,9052,43,1881,2514,17,7987,8440,31,791,988,8,2716,3034,86,62,66,0,1876,2352,18,7118,9975,45,1781,2409,14,7929,8383,33,750,977,6,2548,3050,76,54,51,1,2524,2845,22,7600,10013,52,1766,2265,26,8501,9200,25,718,938,9,2618,2942,93,53,71,2,2389,2676,20,7252,9091,46,1894,2089,20,10265,11030,42,725,780,13,2466,2597,80,52,47,0,2309,2366,20,6216,7647,43,1604,1771,12,11524,12336,37,643,665,7,2310,2420,102,55,53,0,2036,2113,23,4177,5120,39,1109,1243,11,11082,11888,37,514,544,9,1804,1998,86,113,84,1,4580,4490,61,5397,8231,60,1687,1958,17,24838,29456,76,922,1011,11,3425,4311,151
Habersham County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,38,27,0,41,39,1,203,227,2,1164,1158,8,31,43,0,156,147,2,2,3,0,17,20,0,39,36,0,112,101,0,883,898,2,17,19,0,95,82,0,0,0,0,14,10,0,23,36,0,65,71,0,802,919,0,12,12,0,77,77,0,4,0,0,18,21,0,28,21,0,44,38,0,790,873,1,6,11,0,91,63,0,1,0,0,7,14,0,23,26,0,29,36,1,763,866,0,3,3,0,59,68,0,3,3,0,17,18,0,21,25,0,28,27,0,848,931,1,6,10,0,73,64,0,0,2,0,19,13,0,25,23,0,43,19,0,926,1009,0,7,3,0,91,78,1,2,5,0,10,15,0,20,25,0,34,12,0,991,1107,0,5,3,0,101,76,1,1,2,0,19,17,0,25,22,0,22,6,0,994,1199,0,6,8,0,86,84,0,4,1,0,35,38,0,40,57,0,27,18,1,3182,3605,3,10,7,0,201,208,4
