




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
PUCKETTS D                    3622                          286                           1045                          506                           1                             1838                          1838                          
SUWANEE G                     3904                          383                           1191                          662                           1                             2237                          2237                          
BAYCREEK J                    4567                          413                           1506                          702                           4                             2625                          2625                          
Totals:                       581467                        54173                         164723                        91027                         428                           310351                        310351                        

                                                                                                                                                                    Sheriff/Alguacil
                                                            Luis ""Lou"" Solis, Jr. (Rep)                                                                                                                         Keybo Taylor (Dem)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
HARBINS A                     7182                          368                           1539                          515                           3                             2425                          336                           1552                          854                           4                             2746                          5171                          
ROCKBRIDGE A                  3987                          105                           278                           170                           0                             553                           256                           1268                          639                           1                             2164                          2717                          
DACULA                        4777                          242                           907                           249                           1                             1399                          249                           1101                          595                           1                             1946                          3345                          
SUWANEE A                     1737                          121                           307                           150                           1                             579                           95                            368                           187                           0                             650                           1229                          
BAYCREEK A                    2720                          243                           547                           309                           0                             1099                          134                           500                           365                           0                             999                           2098                          
GOODWINS A                    3921                          286                           571                           242                           1                             1100                          259                           777                           533                           1                             1570                          2670                          
DULUTH A                      5042                          236                           903                           451                           2                             1592                          210                           1012                          898                           0                             2120                          3712                          
DUNCANS A                     4729                          356                           1557                          491                           2                             2406                          128                           716                           456                           0                             1300                          3706                          
PUCKETTS A                    5692                          315                           1979                          664                           0                             2958                          147                           803                           475                           0                             1425                          4383                          
CATES A                       2387                          175                           472                           308                           0                             955                           107                           350                           287                           0                             744                           1699                          
BERKSHIRE A                   2555                          179                           233                           120                           0                             532                           252                           421                           319                           2                             994                           1526                          
BERKSHIRE B                   5338                          124                           536                           342                           2                             1004                          286                           1352                          838                           5                             2481                          3485                          
DUNCANS C                     3040                          331                           1038                          311                           1                             1681                          92                            407                           267                           0                             766                           2447                          
GARNERS A                     3520                          207                           790                           432                           1                             1430                          131                           696                           447                           1                             1275                          2705                          
LAWRENCEVILLE A               3635                          164                           478                           268                           0                             910                           244                           642                           384                           3                             1273                          2183                          
LAWRENCEVILLE B               5097                          138                           630                           283                           1                             1052                          215                           1466                          713                           2                             2396                          3448                          
MARTINS A                     3303                          141                           232                           126                           2                             501                           309                           747                           400                           4                             1460                          1961                          
MARTINS B                     3001                          131                           352                           181                           0                             664                           263                           627                           358                           2                             1250                          1914                          
MARTINS C                     2549                          169                           316                           199                           1                             685                           228                           503                           337                           4                             1072                          1757                          
PINCKNEYVILLE A               2791                          121                           155                           86                            3                             365                           318                           586                           334                           5                             1243                          1608                          
PINCKNEYVILLE B               3485                          125                           247                           128                           2                             502                           288                           739                           379                           5                             1411                          1913                          
PINCKNEYVILLE C               2082                          249                           296                           273                           1                             819                           118                           324                           337                           4                             783                           1602                          
PINCKNEYVILLE D               2264                          89                            146                           86                            1                             322                           253                           427                           208                           4                             892                           1214                          
SUGAR HILL A                  4654                          404                           858                           342                           2                             1606                          247                           645                           458                           3                             1353                          2959                          
SUGAR HILL B                  5596                          501                           1187                          431                           12                            2131                          289                           906                           561                           4                             1760                          3891                          
HOG MOUNTAIN A                5011                          319                           731                           320                           1                             1371                          316                           1087                          629                           1                             2033                          3404                          
HOG MOUNTAIN B                4583                          383                           1063                          436                           2                             1884                          179                           762                           629                           2                             1572                          3456                          
ROCKYCREEK A                  5939                          479                           1467                          431                           0                             2377                          265                           1146                          614                           3                             2028                          4405                          
CATES B                       1587                          145                           339                           186                           1                             671                           82                            229                           183                           1                             495                           1166                          
CATES C                       2903                          167                           313                           199                           1                             680                           188                           766                           411                           2                             1367                          2047                          
HOG MOUNTAIN D                3179                          276                           676                           246                           1                             1199                          153                           491                           398                           1                             1043                          2242                          
BERKSHIRE D                   2945                          147                           499                           330                           1                             977                           112                           599                           484                           3                             1198                          2175                          
BERKSHIRE E                   1997                          161                           462                           203                           0                             826                           75                            347                           286                           1                             709                           1535                          
BERKSHIRE F                   2254                          175                           221                           165                           0                             561                           185                           366                           296                           1                             848                           1409                          
CATES D                       3755                          236                           616                           332                           0                             1184                          181                           828                           558                           2                             1569                          2753                          
CATES E                       2942                          221                           570                           316                           1                             1108                          143                           586                           467                           1                             1197                          2305                          
PINCKNEYVILLE E               2184                          112                           109                           71                            2                             294                           231                           481                           265                           7                             984                           1278                          
PINCKNEYVILLE F               2546                          112                           232                           124                           1                             469                           232                           464                           316                           2                             1014                          1483                          
DUNCANS D                     7153                          622                           2107                          776                           3                             3508                          281                           946                           651                           0                             1878                          5386                          
PINCKNEYVILLE H               4536                          333                           735                           469                           1                             1538                          230                           875                           768                           3                             1876                          3414                          
BAYCREEK B                    5969                          266                           634                           292                           3                             1195                          427                           1737                          787                           7                             2958                          4153                          
LAWRENCEVILLE C               3037                          288                           607                           286                           0                             1181                          141                           491                           329                           1                             962                           2143                          
MARTINS D                     2402                          107                           116                           101                           3                             327                           258                           458                           282                           1                             999                           1326                          
ROCKBRIDGE B                  4177                          139                           333                           171                           0                             643                           298                           1150                          596                           1                             2045                          2688                          
GARNERS B                     3178                          120                           397                           233                           5                             755                           184                           842                           454                           1                             1481                          2236                          
CATES F                       1787                          210                           320                           236                           0                             766                           106                           290                           213                           2                             611                           1377                          
CATES G                       2875                          200                           696                           402                           0                             1298                          117                           506                           393                           0                             1016                          2314                          
DULUTH B                      3551                          269                           546                           383                           3                             1201                          179                           515                           516                           1                             1211                          2412                          
GARNERS C                     2030                          131                           299                           146                           0                             576                           124                           438                           258                           2                             822                           1398                          
PINCKNEYVILLE I               2635                          105                           198                           136                           0                             439                           245                           555                           299                           2                             1101                          1540                          
PINCKNEYVILLE J               2613                          79                            132                           68                            0                             279                           260                           626                           268                           2                             1156                          1435                          
BERKSHIRE G                   2419                          164                           511                           246                           0                             921                           113                           533                           291                           0                             937                           1858                          
CATES H                       3924                          113                           407                           192                           0                             712                           305                           926                           492                           1                             1724                          2436                          
SUGAR HILL C                  5085                          597                           1255                          457                           0                             2309                          228                           759                           506                           0                             1493                          3802                          
SUGAR HILL D                  4624                          308                           1183                          340                           6                             1837                          199                           743                           431                           2                             1375                          3212                          
DULUTH C                      2229                          200                           314                           214                           2                             730                           141                           378                           312                           1                             832                           1562                          
DULUTH D                      5077                          232                           677                           302                           7                             1218                          303                           1019                          660                           12                            1994                          3212                          
PINCKNEYVILLE K               3754                          149                           220                           122                           3                             494                           364                           814                           450                           8                             1636                          2130                          
PINCKNEYVILLE N               3819                          130                           205                           67                            0                             402                           452                           938                           483                           5                             1878                          2280                          
LAWRENCEVILLE D               5012                          160                           263                           196                           6                             625                           436                           1088                          529                           8                             2061                          2686                          
LAWRENCEVILLE E               2355                          162                           394                           261                           1                             818                           148                           385                           300                           2                             835                           1653                          
PINCKNEYVILLE L               2330                          309                           452                           475                           1                             1237                          88                            256                           397                           0                             741                           1978                          
PINCKNEYVILLE M               2673                          342                           657                           440                           0                             1439                          84                            294                           381                           0                             759                           2198                          
GARNERS D                     3490                          90                            275                           201                           0                             566                           241                           920                           595                           0                             1756                          2322                          
BERKSHIRE H                   1987                          107                           181                           153                           3                             444                           151                           339                           244                           2                             736                           1180                          
PINCKNEYVILLE O               3359                          107                           251                           116                           1                             475                           287                           779                           344                           5                             1415                          1890                          
PUCKETTS E                    5660                          296                           1055                          407                           1                             1759                          235                           1130                          683                           3                             2051                          3810                          
CATES I                       3537                          263                           604                           322                           1                             1190                          187                           799                           530                           1                             1517                          2707                          
CATES J                       3478                          243                           443                           304                           1                             991                           186                           801                           515                           2                             1504                          2495                          
GOODWINS B                    3960                          310                           896                           361                           1                             1568                          205                           629                           508                           0                             1342                          2910                          
LAWRENCEVILLE F               4061                          175                           327                           167                           1                             670                           291                           1160                          595                           2                             2048                          2718                          
MARTINS E                     6193                          150                           219                           110                           1                             480                           603                           1420                          680                           5                             2708                          3188                          
PINCKNEYVILLE P               2185                          173                           267                           243                           0                             683                           180                           382                           356                           2                             920                           1603                          
PINCKNEYVILLE Q               1915                          75                            75                            42                            1                             193                           274                           420                           215                           2                             911                           1104                          
ROCKBRIDGE C                  5125                          135                           332                           201                           2                             670                           288                           1739                          976                           5                             3008                          3678                          
ROCKBRIDGE D                  3642                          71                            369                           202                           0                             642                           201                           1166                          622                           7                             1996                          2638                          
GOODWINS C                    5804                          305                           608                           359                           1                             1273                          404                           1223                          865                           0                             2492                          3765                          
BAYCREEK K                    3824                          165                           672                           365                           0                             1202                          152                           967                           508                           1                             1628                          2830                          
CATES K                       2810                          240                           517                           262                           3                             1022                          162                           545                           355                           0                             1062                          2084                          
BAYCREEK C                    6499                          322                           1033                          375                           3                             1733                          357                           1764                          882                           0                             3003                          4736                          
CATES L                       4185                          232                           604                           336                           0                             1172                          254                           951                           549                           3                             1757                          2929                          
DULUTH E                      4814                          212                           536                           248                           1                             997                           408                           1147                          731                           6                             2292                          3289                          
GOODWINS D                    4406                          392                           651                           315                           1                             1359                          336                           720                           560                           2                             1618                          2977                          
LAWRENCEVILLE G               3046                          107                           297                           138                           1                             543                           248                           753                           417                           1                             1419                          1962                          
LAWRENCEVILLE H               4296                          294                           761                           356                           4                             1415                          232                           843                           576                           2                             1653                          3068                          
MARTINS F                     2570                          136                           152                           109                           2                             399                           240                           479                           335                           3                             1057                          1456                          
PINCKNEYVILLE S               3374                          186                           338                           251                           1                             776                           330                           590                           402                           5                             1327                          2103                          
ROCKBRIDGE E                  4638                          144                           345                           151                           2                             642                           391                           1152                          734                           2                             2279                          2921                          
SUGAR HILL E                  3589                          323                           773                           323                           5                             1424                          155                           644                           376                           2                             1177                          2601                          
LAWRENCEVILLE I               3312                          209                           378                           214                           0                             801                           268                           644                           411                           2                             1325                          2126                          
BAYCREEK D                    4609                          297                           860                           359                           0                             1516                          212                           1041                          606                           0                             1859                          3375                          
BERKSHIRE J                   2731                          163                           604                           305                           1                             1073                          111                           528                           401                           1                             1041                          2114                          
CATES M                       3988                          279                           889                           474                           1                             1643                          164                           791                           565                           2                             1522                          3165                          
CATES N                       2567                          244                           566                           363                           1                             1174                          125                           375                           279                           0                             779                           1953                          
DULUTH F                      6161                          191                           394                           272                           5                             862                           465                           1403                          908                           16                            2792                          3654                          
DULUTH G                      3067                          292                           528                           346                           1                             1167                          154                           488                           432                           2                             1076                          2243                          
GOODWINS E                    5491                          423                           863                           431                           1                             1718                          320                           1022                          739                           1                             2082                          3800                          
GOODWINS F                    3212                          196                           445                           269                           0                             910                           184                           612                           458                           0                             1254                          2164                          
PINCKNEYVILLE T               3201                          211                           328                           265                           4                             808                           219                           580                           410                           2                             1211                          2019                          
SUWANEE B                     4656                          254                           1127                          442                           0                             1823                          122                           952                           582                           0                             1656                          3479                          
PINCKNEYVILLE U               2090                          200                           206                           147                           0                             553                           221                           405                           283                           5                             914                           1467                          
PUCKETTS B                    3096                          282                           872                           263                           1                             1418                          119                           490                           279                           0                             888                           2306                          
BERKSHIRE L                   3265                          162                           252                           160                           0                             574                           328                           696                           431                           1                             1456                          2030                          
ROCKBRIDGE F                  5795                          78                            435                           235                           1                             749                           310                           2151                          843                           5                             3309                          4058                          
SUGAR HILL F                  4112                          399                           872                           347                           5                             1623                          200                           601                           463                           2                             1266                          2889                          
SUWANEE C                     5675                          344                           1064                          528                           6                             1942                          213                           987                           814                           2                             2016                          3958                          
CATES O                       1434                          160                           239                           145                           2                             546                           96                            248                           198                           3                             545                           1091                          
BAYCREEK E                    3265                          195                           445                           195                           1                             836                           212                           741                           415                           4                             1372                          2208                          
BERKSHIRE M                   1864                          174                           353                           200                           2                             729                           103                           314                           246                           1                             664                           1393                          
MARTINS G                     2425                          124                           193                           103                           0                             420                           265                           507                           279                           1                             1052                          1472                          
