




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Marietta 5A                   3324                          113                           141                           130                           0                             384                           144                           268                           352                           0                             764                           1148                          
Marietta 5B                   3084                          125                           141                           97                            0                             363                           266                           505                           358                           0                             1129                          1492                          
Marietta 6A                   2647                          35                            62                            43                            0                             140                           51                            87                            69                            2                             209                           349                           
Marietta 6B                   2910                          246                           442                           326                           0                             1014                          155                           490                           600                           0                             1245                          2259                          
Marietta 7A                   3745                          4                             2                             0                             0                             6                             6                             15                            3                             0                             24                            30                            
Oregon 03                     5713                          83                            129                           96                            0                             308                           158                           380                           270                           1                             809                           1117                          
Totals:                       69194                         3426                          5730                          4439                          8                             13603                         2547                          6595                          6798                          6                             15946                         29549                         

                                                                                  State House District 38
                                                            David Wilkerson (I) (Dem)                                                                                                                             
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Birney 01                     2727                          285                           548                           546                           8                             1387                          1387                          
Birney 02                     3894                          287                           1037                          979                           3                             2306                          2306                          
Clarkdale 01                  1937                          102                           244                           210                           1                             557                           557                           
Cooper 01                     5252                          481                           1376                          1018                          2                             2877                          2877                          
Mableton 01                   5127                          259                           1090                          931                           0                             2280                          2280                          
Macland 01                    4213                          347                           1252                          895                           0                             2494                          2494                          
McEachern 01                  3549                          227                           1017                          794                           1                             2039                          2039                          
Oregon 02                     5671                          72                            223                           141                           0                             436                           436                           
Powders Springs 1A            4755                          276                           1523                          1150                          3                             2952                          2952                          
Powders Springs 2A            3536                          270                           1040                          679                           3                             1992                          1992                          
Powders Springs 3A            3991                          318                           1272                          694                           1                             2285                          2285                          
Sweetwater 01                 3235                          287                           867                           592                           0                             1746                          1746                          
Sweetwater 02                 3367                          308                           682                           656                           17                            1663                          1663                          
Totals:                       51254                         3519                          12171                         9285                          39                            25014                         25014                         

                                                                                                                                                             State House District 39
                                                            Jim Hickey (Rep)                                                                                                                                      Erica Thomas (I) (Dem)                                                                                                                                
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Austell 1A                    5329                          157                           263                           169                           0                             589                           381                           1301                          971                           6                             2659                          3248                          
Bryant 01                     2142                          20                            38                            25                            0                             83                            196                           714                           471                           3                             1384                          1467                          
Bryant 02                     6209                          55                            98                            53                            0                             206                           542                           1500                          787                           3                             2832                          3038                          
Clarkdale 01                  1937                          33                            60                            34                            0                             127                           58                            140                           138                           0                             336                           463                           
Clarkdale 02                  5372                          63                            94                            71                            0                             228                           97                            212                           150                           1                             460                           688                           
Harmony-Leland 01             6394                          115                           363                           233                           0                             711                           366                           1948                          1444                          4                             3762                          4473                          
Lindley 01                    4797                          175                           391                           312                           0                             878                           295                           1401                          1131                          1                             2828                          3706                          
Mableton 01                   5127                          44                            99                            85                            1                             229                           71                            242                           217                           0                             530                           759                           
Mableton 02                   3330                          131                           218                           182                           0                             531                           258                           613                           536                           0                             1407                          1938                          
Pebblebrook 01                5218                          108                           271                           214                           0                             593                           445                           1314                          913                           2                             2674                          3267                          
Riverside 01                  2133                          41                            42                            28                            0                             111                           215                           483                           306                           1                             1005                          1116                          
Smyrna 7A                     6378                          19                            67                            39                            0                             125                           39                            427                           269                           0                             735                           860                           
Totals:                       54366                         961                           2004                          1445                          1                             4411                          2963                          10295                         7333                          21                            20612                         25023                         

                                                                                                                                                             State House District 40
                                                            Taryn Chilivis Bowman (Rep)                                                                                                                           Erick Eugene Allen (I) (Dem)                                                                                                                          
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Mableton 03                   3010                          189                           388                           315                           0                             892                           180                           543                           498                           2                             1223                          2115                          
Mableton 04                   1581                          137                           218                           211                           0                             566                           72                            299                           319                           0                             690                           1256                          
Nickajack 01                  4889                          0                             0                             0                             0                             0                             0                             3                             3                             0                             6                             6                             
Norton Park 01                4922                          93                            246                           236                           0                             575                           114                           272                           298                           0                             684                           1259                          
Oakdale 01                    3944                          247                           470                           410                           0                             1127                          127                           605                           733                           0                             1465                          2592                          
Smyrna 1A                     4152                          59                            103                           101                           0                             263                           53                            162                           180                           0                             395                           658                           
Smyrna 2A                     5539                          37                            126                           99                            0                             262                           40                            217                           219                           0                             476                           738                           
Smyrna 3B                     2496                          145                           335                           220                           0                             700                           105                           403                           417                           0                             925                           1625                          
Smyrna 4A                     5842                          331                           839                           796                           1                             1967                          240                           1058                          1375                          0                             2673                          4640                          
Smyrna 6A                     5936                          341                           810                           694                           1                             1846                          292                           1159                          1218                          2                             2671                          4517                          
Smyrna 7A                     6378                          147                           494                           382                           0                             1023                          96                            779                           839                           0                             1714                          2737                          
Vinings 01                    3260                          199                           288                           274                           1                             762                           198                           739                           587                           1                             1525                          2287                          
Vinings 02                    6400                          301                           642                           602                           1                             1546                          396                           1298                          1134                          3                             2831                          4377                          
Vinings 03                    4407                          105                           301                           265                           2                             673                           99                            487                           497                           0                             1083                          1756                          
Vinings 04                    3405                          438                           466                           526                           1                             1431                          180                           505                           507                           0                             1192                          2623                          
Totals:                       66161                         2769                          5726                          5131                          7                             13633                         2192                          8529                          8824                          8                             19553                         33186                         

                                                                                                                                                             State House District 41
                                                            Stephen M. George, Jr. (Rep)                                                                                                                          Michael Smith (I) (Dem)                                                                                                                               
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Cheatham Hill 03              4029                          58                            232                           136                           0                             426                           55                            256                           196                           0                             507                           933                           
Fair Oaks 02                  5779                          234                           393                           295                           2                             924                           512                           1074                          941                           2                             2529                          3453                          
Fair Oaks 04                  5322                          250                           294                           259                           0                             803                           539                           653                           635                           2                             1829                          2632                          
Marietta 2B                   4447                          46                            105                           79                            0                             230                           184                           404                           272                           0                             860                           1090                          
Marietta 3B                   2218                          5                             17                            22                            0                             44                            56                            158                           179                           0                             393                           437                           
Norton Park 01                4922                          133                           250                           211                           2                             596                           257                           479                           507                           0                             1243                          1839                          
Oregon 02                     5671                          200                           351                           336                           0                             887                           360                           1076                          983                           0                             2419                          3306                          
Oregon 03                     5713                          101                           175                           192                           2                             470                           253                           569                           494                           1                             1317                          1787                          
Oregon 04                     4673                          185                           404                           293                           0                             882                           334                           978                           977                           1                             2290                          3172                          
Smyrna 3B                     2496                          0                             4                             3                             0                             7                             1                             19                            9                             0                             29                            36                            
Smyrna 5A                     4319                          171                           251                           187                           0                             609                           228                           671                           641                           4                             1544                          2153                          
Totals:                       49589                         1383                          2476                          2013                          6                             5878                          2779                          6337                          5834                          10                            14960                         20838                         

                                                                                  State House District 42
                                                            Teri Anulewicz (I) (Dem)                                                                                                                              
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Dobbins 01                    3024                          297                           491                           407                           5                             1200                          1200                          
Dobbins 02                    3984                          482                           1021                          613                           4                             2120                          2120                          
Marietta 1A                   4468                          338                           692                           496                           5                             1531                          1531                          
Marietta 5A                   3324                          163                           353                           224                           2                             742                           742                           
Marietta 6A                   2647                          188                           362                           220                           0                             770                           770                           
Marietta 7A                   3745                          329                           801                           463                           2                             1595                          1595                          
Oregon 03                     5713                          58                            53                            35                            2                             148                           148                           
Powers Ferry 01               3504                          15                            29                            32                            0                             76                            76                            
Sewell Mill 03                4759                          123                           223                           174                           1                             521                           521                           
Smyrna 1A                     4152                          412                           721                           511                           3                             1647                          1647                          
Smyrna 2A                     5539                          461                           1253                          876                           1                             2591                          2591                          
Smyrna 3A                     4573                          364                           1247                          1006                          3                             2620                          2620                          
Smyrna 3B                     2496                          36                            75                            64                            2                             177                           177                           
Smyrna 5A                     4319                          144                           205                           201                           2                             552                           552                           
Terrell Mill 01               5816                          271                           442                           228                           6                             947                           947                           
Totals:                       62063                         3681                          7968                          5550                          38                            17237                         17237                         

                                                                                                                                                             State House District 43
                                                            Sharon Cooper (I) (Rep)                                                                                                                               Luisa Wakeman (Dem)                                                                                                                                   
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Chattahoochee 01              5969                          282                           547                           294                           0                             1123                          408                           1373                          928                           0                             2709                          3832                          
Eastside 01                   3040                          336                           576                           564                           2                             1478                          100                           321                           621                           1                             1043                          2521                          
Eastside 02                   4074                          331                           742                           843                           1                             1917                          121                           467                           826                           1                             1415                          3332                          
Fullers Park 01               3452                          351                           647                           584                           0                             1582                          147                           403                           666                           0                             1216                          2798                          
Marietta 6A                   2647                          36                            28                            13                            0                             77                            45                            114                           83                            0                             242                           319                           
Mt Bethel 04                  2981                          274                           585                           600                           0                             1459                          74                            299                           586                           0                             959                           2418                          
Powers Ferry 01               3504                          344                           495                           413                           0                             1252                          178                           448                           526                           2                             1154                          2406                          
Sewell Mill 01                3493                          119                           228                           193                           0                             540                           66                            203                           289                           0                             558                           1098                          
Sewell Mill 03                4759                          321                           402                           455                           1                             1179                          227                           543                           526                           0                             1296                          2475                          
Sope Creek 01                 2163                          287                           385                           414                           1                             1087                          94                            229                           411                           0                             734                           1821                          
Sope Creek 02                 4729                          386                           794                           719                           1                             1900                          181                           687                           835                           1                             1704                          3604                          
Sope Creek 03                 2886                          348                           541                           475                           0                             1364                          107                           360                           454                           0                             921                           2285                          
Terrell Mill 01               5816                          213                           382                           375                           0                             970                           203                           661                           637                           0                             1501                          2471                          
Totals:                       49513                         3628                          6352                          5942                          6                             15928                         1951                          6108                          7388                          5                             15452                         31380                         

                                                                                                                                                             State House District 44
                                                            Don L. Parsons (I) (Rep)                                                                                                                              Connie DiCicco (Dem)                                                                                                                                  
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Addison 01                    2444                          234                           374                           381                           0                             989                           140                           328                           471                           1                             940                           1929                          
Bells Ferry 02                3127                          321                           511                           343                           1                             1176                          162                           420                           488                           1                             1071                          2247                          
Bells Ferry 04                3646                          472                           631                           402                           0                             1505                          196                           461                           481                           2                             1140                          2645                          
Big Shanty 02                 3236                          308                           573                           394                           2                             1277                          183                           463                           511                           0                             1157                          2434                          
Blackwell 01                  2698                          222                           441                           282                           1                             946                           186                           371                           516                           0                             1073                          2019                          
Chalker 01                    6065                          325                           634                           430                           1                             1390                          486                           1146                          785                           0                             2417                          3807                          
Elizabeth 03                  2767                          94                            136                           151                           1                             382                           31                            115                           122                           0                             268                           650                           
Elizabeth 05                  2884                          350                           467                           385                           0                             1202                          142                           363                           550                           0                             1055                          2257                          
Gritters 01                   4033                          435                           685                           512                           0                             1632                          254                           473                           602                           1                             1330                          2962                          
Kennesaw 1A                   2499                          41                            42                            16                            0                             99                            41                            90                            41                            1                             173                           272                           
Lassiter 01                   3647                          255                           393                           322                           0                             970                           91                            290                           359                           2                             742                           1712                          
Pope 01                       3153                          170                           416                           326                           0                             912                           82                            259                           358                           0                             699                           1611                          
Palmer 01                     2760                          292                           486                           373                           0                             1151                          153                           343                           363                           0                             859                           2010                          
Pitner 01                     2814                          361                           524                           301                           0                             1186                          172                           377                           358                           1                             908                           2094                          
Sandy Plains 01               2933                          311                           471                           383                           0                             1165                          155                           424                           560                           1                             1140                          2305                          
Simpson 01                    1868                          183                           388                           255                           1                             827                           67                            279                           305                           0                             651                           1478                          
Totals:                       50574                         4374                          7172                          5256                          7                             16809                         2541                          6202                          6870                          10                            15623                         32432                         

                                                                                                                                                             State House District 45
                                                            Matt Dollar (I) (Rep)                                                                                                                                 Sara Tindall Ghazal (Dem)                                                                                                                             
Precinct                      Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Chestnut Ridge 01             3162                          340                           635                           630                           0                             1605                          111                           346                           595                           0                             1052                          2657                          
