County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Richmond,503,4021.0,88.0,193.0,88.0,2.0,371.0,365.0,879.0,729.0,3.0,1976.0,19.0,22.0,20.0,0.0,61.0,2408.0
Richmond,504,2339.0,140.0,117.0,80.0,2.0,339.0,245.0,358.0,281.0,4.0,888.0,13.0,5.0,11.0,0.0,29.0,1256.0
Richmond,506,416.0,14.0,43.0,11.0,0.0,68.0,41.0,78.0,38.0,3.0,160.0,0.0,1.0,3.0,0.0,4.0,232.0
Richmond,507,968.0,43.0,66.0,43.0,0.0,152.0,136.0,205.0,129.0,1.0,471.0,6.0,8.0,3.0,0.0,17.0,640.0
Richmond,509,2172.0,55.0,80.0,53.0,0.0,188.0,191.0,597.0,404.0,4.0,1196.0,15.0,14.0,13.0,1.0,43.0,1427.0
Richmond,601,3988.0,158.0,257.0,112.0,3.0,530.0,318.0,772.0,510.0,14.0,1614.0,19.0,33.0,28.0,0.0,80.0,2224.0
Richmond,603,3570.0,394.0,398.0,252.0,0.0,1044.0,288.0,454.0,387.0,2.0,1131.0,24.0,22.0,8.0,0.0,54.0,2229.0
Richmond,604,1811.0,157.0,82.0,70.0,0.0,309.0,176.0,305.0,221.0,0.0,702.0,13.0,9.0,9.0,0.0,31.0,1042.0
Richmond,605,3880.0,232.0,326.0,201.0,0.0,759.0,300.0,632.0,511.0,2.0,1445.0,23.0,13.0,21.0,1.0,58.0,2262.0
Richmond,607,1812.0,23.0,36.0,26.0,1.0,86.0,191.0,525.0,392.0,1.0,1109.0,4.0,16.0,7.0,0.0,27.0,1222.0
Richmond,608,1472.0,241.0,241.0,105.0,0.0,587.0,89.0,172.0,140.0,1.0,402.0,9.0,9.0,7.0,0.0,25.0,1014.0
Richmond,701,2403.0,309.0,557.0,253.0,1.0,1120.0,105.0,266.0,293.0,1.0,665.0,11.0,15.0,11.0,0.0,37.0,1822.0
Richmond,702,1943.0,286.0,402.0,161.0,0.0,849.0,106.0,216.0,182.0,0.0,504.0,25.0,17.0,6.0,0.0,48.0,1401.0
Richmond,703,4644.0,363.0,587.0,258.0,0.0,1208.0,335.0,752.0,478.0,7.0,1572.0,34.0,31.0,15.0,0.0,80.0,2860.0
Richmond,705,2276.0,210.0,433.0,284.0,2.0,929.0,119.0,321.0,270.0,1.0,711.0,8.0,13.0,7.0,0.0,28.0,1668.0
Richmond,706,3315.0,245.0,865.0,348.0,0.0,1458.0,109.0,443.0,367.0,1.0,920.0,21.0,27.0,19.0,0.0,67.0,2445.0
Richmond,707,2122.0,157.0,246.0,89.0,1.0,493.0,217.0,403.0,209.0,2.0,831.0,8.0,19.0,13.0,0.0,40.0,1364.0
Richmond,708,305.0,21.0,107.0,32.0,1.0,161.0,8.0,43.0,18.0,0.0,69.0,0.0,3.0,1.0,0.0,4.0,234.0
Richmond,709,576.0,43.0,106.0,50.0,0.0,199.0,28.0,83.0,84.0,0.0,195.0,5.0,0.0,4.0,0.0,9.0,403.0
Richmond,801,523.0,160.0,45.0,37.0,1.0,243.0,38.0,26.0,45.0,0.0,109.0,1.0,1.0,3.0,0.0,5.0,357.0
Richmond,801B,523.0,195.0,32.0,45.0,0.0,272.0,40.0,14.0,35.0,0.0,89.0,1.0,1.0,2.0,0.0,4.0,365.0
Richmond,802,3251.0,699.0,413.0,208.0,4.0,1324.0,159.0,249.0,292.0,2.0,702.0,19.0,13.0,11.0,0.0,43.0,2069.0
Richmond,803,252.0,8.0,22.0,2.0,0.0,32.0,24.0,25.0,26.0,1.0,76.0,2.0,1.0,0.0,0.0,3.0,111.0
Richmond,804,2096.0,195.0,268.0,94.0,0.0,557.0,139.0,390.0,252.0,0.0,781.0,13.0,12.0,6.0,1.0,32.0,1370.0
Richmond,804H,2863.0,366.0,422.0,190.0,0.0,978.0,177.0,383.0,325.0,4.0,889.0,16.0,14.0,18.0,1.0,49.0,1916.0
Richmond,805,798.0,61.0,80.0,25.0,0.0,166.0,70.0,187.0,110.0,1.0,368.0,2.0,3.0,5.0,0.0,10.0,544.0
Richmond,806,1212.0,209.0,198.0,77.0,0.0,484.0,74.0,134.0,110.0,1.0,319.0,5.0,8.0,8.0,0.0,21.0,824.0
Richmond,807,1578.0,78.0,102.0,52.0,0.0,232.0,129.0,306.0,233.0,1.0,669.0,9.0,12.0,10.0,0.0,31.0,932.0
Richmond,808,2366.0,297.0,371.0,162.0,0.0,830.0,164.0,368.0,290.0,1.0,823.0,15.0,10.0,4.0,0.0,29.0,1682.0
Richmond,809,879.0,10.0,18.0,12.0,0.0,40.0,72.0,309.0,189.0,2.0,572.0,6.0,4.0,2.0,0.0,12.0,624.0
Richmond,810,425.0,54.0,93.0,24.0,0.0,171.0,14.0,67.0,53.0,0.0,134.0,0.0,3.0,2.0,0.0,5.0,310.0
Laurens,FBC-FLC,4180.0,334.0,1139.0,447.0,0.0,1920.0,174.0,548.0,363.0,1.0,1086.0,12.0,20.0,19.0,0.0,51.0,3057.0
Laurens,Calhoun Park,6053.0,205.0,474.0,213.0,0.0,892.0,494.0,958.0,824.0,0.0,2276.0,31.0,40.0,29.0,0.0,100.0,3268.0
Laurens,Fire Dept Sta 5,3672.0,509.0,1204.0,342.0,0.0,2055.0,135.0,387.0,217.0,0.0,739.0,16.0,15.0,12.0,0.0,43.0,2837.0
Laurens,Buckeye,1047.0,209.0,127.0,55.0,0.0,391.0,86.0,102.0,133.0,0.0,321.0,4.0,4.0,2.0,0.0,10.0,722.0
Laurens,Burch,422.0,160.0,45.0,37.0,0.0,242.0,20.0,13.0,34.0,0.0,67.0,6.0,0.0,1.0,0.0,7.0,316.0
Laurens,Cadwell,749.0,294.0,126.0,50.0,1.0,471.0,33.0,26.0,17.0,0.0,76.0,7.0,0.0,2.0,0.0,9.0,556.0
Laurens,Brewton,1739.0,462.0,335.0,115.0,1.0,913.0,73.0,97.0,73.0,0.0,243.0,7.0,8.0,1.0,0.0,16.0,1172.0
Laurens,Dudley,1121.0,351.0,311.0,91.0,0.0,753.0,41.0,60.0,62.0,0.0,163.0,4.0,4.0,3.0,0.0,11.0,927.0
Laurens,Hampton Mill,1772.0,652.0,369.0,138.0,0.0,1159.0,83.0,44.0,56.0,0.0,183.0,8.0,7.0,1.0,0.0,16.0,1358.0
Laurens,Harvard,406.0,97.0,40.0,26.0,0.0,163.0,53.0,34.0,30.0,0.0,117.0,4.0,1.0,0.0,0.0,5.0,285.0
Laurens,Minter,937.0,352.0,182.0,89.0,1.0,624.0,16.0,12.0,16.0,0.0,44.0,3.0,1.0,2.0,0.0,6.0,674.0
Laurens,Rural Fire Sta 17,2344.0,491.0,517.0,170.0,0.0,1178.0,104.0,148.0,126.0,0.0,378.0,13.0,17.0,6.0,0.0,36.0,1592.0
Laurens,W T Adams Fire Sta 18,2090.0,381.0,606.0,159.0,0.0,1146.0,98.0,211.0,178.0,1.0,488.0,4.0,10.0,9.0,0.0,23.0,1657.0
Laurens,Reedy Springs,894.0,387.0,128.0,48.0,0.0,563.0,43.0,39.0,29.0,0.0,111.0,7.0,3.0,1.0,0.0,11.0,685.0
Laurens,Smith,3374.0,403.0,460.0,169.0,0.0,1032.0,241.0,373.0,261.0,0.0,875.0,18.0,17.0,10.0,0.0,45.0,1952.0
Laurens,LCFS 10 Valambrosia,2080.0,309.0,409.0,143.0,0.0,861.0,115.0,242.0,174.0,0.0,531.0,6.0,15.0,3.0,0.0,24.0,1416.0
Wilcox,Rochelle North 1,558.0,24.0,48.0,13.0,0.0,85.0,100.0,95.0,37.0,0.0,232.0,2.0,3.0,0.0,0.0,5.0,322.0
