County,Precinct,Registered Voters,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Fulton,08K,1049.0,2.0,6.0,94.0,5.0,4.0,1.0,4.0,54.0,12.0,4.0,18.0,27.0,170.0,5.0,10.0,2.0,4.0,5.0,398.0,6.0,831.0
Fulton,08L,4505.0,7.0,19.0,315.0,12.0,14.0,5.0,20.0,205.0,46.0,10.0,69.0,170.0,619.0,24.0,48.0,7.0,10.0,20.0,1578.0,13.0,3211.0
Fulton,08M,2295.0,5.0,2.0,336.0,2.0,3.0,1.0,13.0,60.0,20.0,6.0,17.0,60.0,686.0,14.0,8.0,2.0,6.0,6.0,523.0,4.0,1774.0
Fulton,08N1,824.0,0.0,1.0,114.0,2.0,1.0,1.0,3.0,16.0,1.0,1.0,5.0,22.0,262.0,1.0,2.0,0.0,1.0,1.0,229.0,1.0,664.0
Fulton,08N2,1616.0,3.0,3.0,194.0,4.0,12.0,4.0,10.0,82.0,18.0,6.0,23.0,48.0,261.0,9.0,4.0,2.0,4.0,2.0,501.0,7.0,1197.0
Fulton,08P,1887.0,5.0,6.0,59.0,6.0,4.0,3.0,7.0,108.0,51.0,1.0,44.0,69.0,124.0,34.0,11.0,4.0,8.0,4.0,572.0,8.0,1128.0
Fulton,09A,3856.0,9.0,12.0,203.0,11.0,9.0,9.0,16.0,188.0,80.0,9.0,68.0,155.0,400.0,47.0,35.0,9.0,16.0,11.0,1407.0,12.0,2706.0
Fulton,09B,464.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,9.0,0.0,13.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0,120.0,0.0,180.0
Fulton,09C,3353.0,7.0,5.0,21.0,3.0,4.0,6.0,7.0,141.0,54.0,1.0,57.0,36.0,23.0,28.0,4.0,6.0,6.0,3.0,1256.0,16.0,1684.0
Fulton,09D,2299.0,8.0,3.0,13.0,4.0,1.0,3.0,3.0,116.0,36.0,0.0,24.0,24.0,13.0,21.0,2.0,3.0,2.0,2.0,722.0,5.0,1005.0
Fulton,09E,3261.0,8.0,2.0,37.0,5.0,4.0,3.0,12.0,188.0,60.0,3.0,71.0,68.0,60.0,31.0,10.0,10.0,10.0,1.0,1040.0,17.0,1640.0
Fulton,09F,3917.0,2.0,18.0,412.0,8.0,20.0,7.0,27.0,179.0,38.0,8.0,54.0,146.0,622.0,35.0,21.0,3.0,9.0,9.0,1293.0,10.0,2921.0
Fulton,09G,3943.0,8.0,13.0,195.0,15.0,12.0,9.0,14.0,255.0,68.0,15.0,92.0,160.0,374.0,50.0,22.0,10.0,15.0,15.0,1408.0,23.0,2773.0
Fulton,09H,1185.0,2.0,3.0,26.0,5.0,2.0,3.0,3.0,78.0,26.0,3.0,29.0,38.0,47.0,8.0,11.0,7.0,5.0,4.0,394.0,9.0,703.0
Fulton,09I,1397.0,5.0,1.0,8.0,2.0,2.0,4.0,2.0,38.0,21.0,3.0,16.0,25.0,17.0,12.0,2.0,4.0,3.0,2.0,433.0,8.0,608.0
