County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total Votes
Gwinnett,CATES H,3924.0,111.0,398.0,207.0,0.0,716.0,303.0,935.0,483.0,2.0,1723.0,2439.0
Gwinnett,SUGAR HILL C,5085.0,601.0,1259.0,476.0,1.0,2337.0,226.0,752.0,503.0,0.0,1481.0,3818.0
Gwinnett,SUGAR HILL D,4624.0,314.0,1205.0,353.0,5.0,1877.0,197.0,724.0,433.0,3.0,1357.0,3234.0
Gwinnett,DULUTH C,2229.0,197.0,331.0,232.0,3.0,763.0,142.0,359.0,298.0,1.0,800.0,1563.0
Gwinnett,DULUTH D,5077.0,244.0,675.0,326.0,7.0,1252.0,294.0,1014.0,643.0,11.0,1962.0,3214.0
Gwinnett,PINCKNEYVILLE K,3754.0,135.0,223.0,138.0,2.0,498.0,379.0,811.0,438.0,10.0,1638.0,2136.0
Gwinnett,PINCKNEYVILLE N,3819.0,121.0,198.0,83.0,1.0,403.0,460.0,941.0,472.0,5.0,1878.0,2281.0
Gwinnett,LAWRENCEVILLE D,5012.0,164.0,279.0,204.0,5.0,652.0,429.0,1071.0,526.0,8.0,2034.0,2686.0
Gwinnett,LAWRENCEVILLE E,2355.0,161.0,397.0,283.0,1.0,842.0,149.0,380.0,277.0,2.0,808.0,1650.0
Gwinnett,PINCKNEYVILLE L,2330.0,309.0,473.0,529.0,1.0,1312.0,91.0,236.0,352.0,0.0,679.0,1991.0
Gwinnett,PINCKNEYVILLE M,2673.0,354.0,670.0,495.0,0.0,1519.0,75.0,288.0,331.0,0.0,694.0,2213.0
