County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Calhoun,Edison-Arlington,594.0,33.0,63.0,19.0,0.0,115.0,89.0,114.0,74.0,0.0,277.0,392.0
Calhoun,Arlington,684.0,28.0,61.0,8.0,0.0,97.0,112.0,112.0,142.0,0.0,366.0,463.0
Dougherty,Palmyra Methodist,2761.0,273.0,279.0,168.0,3.0,723.0,267.0,311.0,261.0,9.0,848.0,1571.0
Dougherty,Sherwood Elementary,3205.0,231.0,252.0,159.0,0.0,642.0,411.0,538.0,333.0,1.0,1283.0,1925.0
Dougherty,Covenant Church,2334.0,292.0,193.0,124.0,0.0,609.0,278.0,303.0,222.0,2.0,805.0,1414.0
Dougherty,Greenbriar Church,3885.0,365.0,644.0,312.0,4.0,1325.0,291.0,696.0,589.0,5.0,1581.0,2906.0
Dougherty,Westover High School,3394.0,281.0,406.0,239.0,0.0,926.0,364.0,714.0,445.0,0.0,1523.0,2449.0
Dougherty,Merry Acres Middle,2432.0,284.0,310.0,156.0,2.0,752.0,251.0,325.0,260.0,9.0,845.0,1597.0
Dougherty,Darton College,4289.0,110.0,240.0,102.0,1.0,453.0,495.0,941.0,638.0,7.0,2081.0,2534.0
Dougherty,Westtown Elementary,3265.0,32.0,26.0,25.0,0.0,83.0,509.0,634.0,676.0,1.0,1820.0,1903.0
Dougherty,2nd Mt Zion Church,1465.0,231.0,154.0,99.0,1.0,485.0,162.0,155.0,178.0,2.0,497.0,982.0
Dougherty,Mt Zion Center,3638.0,14.0,6.0,7.0,0.0,27.0,566.0,572.0,644.0,2.0,1784.0,1811.0
